"","HGNC.ID"
"1","HGNC:4053"
"2","HGNC:329"
"3","HGNC:11918"
"4","HGNC:17978"
"5","HGNC:3084"
"6","HGNC:25567"
"7","HGNC:25186"
"8","HGNC:4396"
"9","HGNC:4084"
"10","HGNC:10896"
"11","HGNC:8851"
"12","HGNC:14668"
"13","HGNC:14000"
"14","HGNC:24866"
"15","HGNC:19104"
"16","HGNC:6229"
"17","HGNC:13281"
"18","HGNC:29105"
"19","HGNC:18806"
"20","HGNC:8847"
"21","HGNC:16369"
"22","HGNC:17939"
"23","HGNC:9965"
"24","HGNC:4795"
"25","HGNC:8977"
"26","HGNC:17877"
"27","HGNC:16636"
"28","HGNC:8856"
"29","HGNC:11571"
"30","HGNC:6902"
"31","HGNC:3942"
"32","HGNC:30791"
"33","HGNC:6764"
"34","HGNC:7436"
"35","HGNC:7939"
"36","HGNC:9081"
"37","HGNC:16877"
"38","HGNC:11917"
"39","HGNC:23595"
"40","HGNC:2523"
"41","HGNC:2026"
"42","HGNC:2027"
"43","HGNC:3386"
"44","HGNC:30213"
"45","HGNC:10681"
"46","HGNC:18337"
"47","HGNC:8621"
"48","HGNC:406"
"49","HGNC:28957"
"50","HGNC:14581"
"51","HGNC:2728"
"52","HGNC:3146"
"53","HGNC:438"
"54","HGNC:5273"
"55","HGNC:1736"
"56","HGNC:12783"
"57","HGNC:1241"
"58","HGNC:1245"
"59","HGNC:1242"
"60","HGNC:29079"
"61","HGNC:10301"
"62","HGNC:4116"
"63","HGNC:5005"
"64","HGNC:4006"
"65","HGNC:25839"
"66","HGNC:18640"
"67","HGNC:15999"
"68","HGNC:11013"
"69","HGNC:20603"
"70","HGNC:11110"
"71","HGNC:26031"
"72","HGNC:7961"
"73","HGNC:26624"
"74","HGNC:11071"
"75","HGNC:3625"
"76","HGNC:25230"
"77","HGNC:3377"
"78","HGNC:19691"
"79","HGNC:14957"
"80","HGNC:6524"
"81","HGNC:12840"
"82","HGNC:5144"
"83","HGNC:362"
"84","HGNC:4286"
"85","HGNC:4285"
"86","HGNC:30071"
"87","HGNC:2216"
"88","HGNC:2439"
"89","HGNC:30587"
"90","HGNC:21679"
"91","HGNC:20286"
"92","HGNC:25897"
"93","HGNC:9325"
"94","HGNC:12877"
"95","HGNC:2218"
"96","HGNC:6298"
"97","HGNC:2519"
"98","HGNC:25686"
"99","HGNC:2040"
"100","HGNC:19316"
"101","HGNC:11005"
"102","HGNC:7217"
"103","HGNC:29040"
"104","HGNC:9670"
"105","HGNC:10866"
"106","HGNC:11056"
"107","HGNC:9586"
"108","HGNC:3259"
"109","HGNC:12591"
"110","HGNC:7527"
"111","HGNC:15954"
"112","HGNC:24525"
"113","HGNC:9352"
"114","HGNC:19139"
"115","HGNC:9826"
"116","HGNC:11556"
"117","HGNC:10879"
"118","HGNC:3808"
"119","HGNC:1789"
"120","HGNC:8487"
"121","HGNC:25716"
"122","HGNC:10606"
"123","HGNC:2330"
"124","HGNC:2859"
"125","HGNC:16512"
"126","HGNC:20001"
"127","HGNC:1352"
"128","HGNC:1353"
"129","HGNC:2661"
"130","HGNC:11530"
"131","HGNC:7784"
"132","HGNC:19190"
"133","HGNC:491"
"134","HGNC:23157"
"135","HGNC:8905"
"136","HGNC:15469"
"137","HGNC:6554"
"138","HGNC:20800"
"139","HGNC:19100"
"140","HGNC:10294"
"141","HGNC:2501"
"142","HGNC:19661"
"143","HGNC:89"
"144","HGNC:29557"
"145","HGNC:989"
"146","HGNC:2018"
"147","HGNC:29222"
"148","HGNC:20193"
"149","HGNC:11774"
"150","HGNC:1105"
"151","HGNC:14373"
"152","HGNC:4237"
"153","HGNC:10360"
"154","HGNC:34"
"155","HGNC:67"
"156","HGNC:28287"
"157","HGNC:3012"
"158","HGNC:321"
"159","HGNC:11023"
"160","HGNC:25403"
"161","HGNC:2698"
"162","HGNC:1718"
"163","HGNC:4539"
"164","HGNC:2186"
"165","HGNC:23319"
"166","HGNC:20662"
"167","HGNC:29501"
"168","HGNC:11546"
"169","HGNC:10537"
"170","HGNC:4387"
"171","HGNC:4394"
"172","HGNC:469"
"173","HGNC:21297"
"174","HGNC:449"
"175","HGNC:31399"
"176","HGNC:6220"
"177","HGNC:28769"
"178","HGNC:9855"
"179","HGNC:6239"
"180","HGNC:10922"
"181","HGNC:20889"
"182","HGNC:9652"
"183","HGNC:572"
"184","HGNC:468"
"185","HGNC:7989"
"186","HGNC:12372"
"187","HGNC:7808"
"188","HGNC:15512"
"189","HGNC:1513"
"190","HGNC:5950"
"191","HGNC:11594"
"192","HGNC:12730"
"193","HGNC:5218"
"194","HGNC:8923"
"195","HGNC:5008"
"196","HGNC:7882"
"197","HGNC:4887"
"198","HGNC:8853"
"199","HGNC:4279"
"200","HGNC:4281"
"201","HGNC:10771"
"202","HGNC:14579"
"203","HGNC:17348"
"204","HGNC:30740"
"205","HGNC:3153"
"206","HGNC:19706"
"207","HGNC:2536"
"208","HGNC:13420"
"209","HGNC:29277"
"210","HGNC:9986"
"211","HGNC:18801"
"212","HGNC:10260"
"213","HGNC:11791"
"214","HGNC:3748"
"215","HGNC:33276"
"216","HGNC:6663"
"217","HGNC:30778"
"218","HGNC:10416"
"219","HGNC:12012"
"220","HGNC:16915"
"221","HGNC:1962"
"222","HGNC:225"
"223","HGNC:9141"
"224","HGNC:24671"
"225","HGNC:3007"
"226","HGNC:7508"
"227","HGNC:4177"
"228","HGNC:9020"
"229","HGNC:3631"
"230","HGNC:19088"
"231","HGNC:29678"
"232","HGNC:30935"
"233","HGNC:10023"
"234","HGNC:682"
"235","HGNC:29796"
"236","HGNC:6636"
"237","HGNC:10729"
"238","HGNC:18453"
"239","HGNC:9343"
"240","HGNC:8031"
"241","HGNC:11272"
"242","HGNC:18858"
"243","HGNC:6256"
"244","HGNC:800"
"245","HGNC:1512"
"246","HGNC:24891"
"247","HGNC:9713"
"248","HGNC:17091"
"249","HGNC:15511"
"250","HGNC:19688"
"251","HGNC:26941"
"252","HGNC:9280"
"253","HGNC:7708"
"254","HGNC:7225"
"255","HGNC:10682"
"256","HGNC:3619"
"257","HGNC:15626"
"258","HGNC:791"
"259","HGNC:2731"
"260","HGNC:8632"
"261","HGNC:18188"
"262","HGNC:1677"
"263","HGNC:21285"
"264","HGNC:23694"
"265","HGNC:11596"
"266","HGNC:10938"
"267","HGNC:3542"
"268","HGNC:25676"
"269","HGNC:9142"
"270","HGNC:3771"
"271","HGNC:7610"
"272","HGNC:8960"
"273","HGNC:11936"
"274","HGNC:11934"
"275","HGNC:25538"
"276","HGNC:775"
"277","HGNC:13394"
"278","HGNC:29456"
"279","HGNC:21734"
"280","HGNC:12827"
"281","HGNC:4341"
"282","HGNC:10050"
"283","HGNC:6493"
"284","HGNC:7661"
"285","HGNC:16791"
"286","HGNC:9364"
"287","HGNC:16783"
"288","HGNC:18866"
"289","HGNC:4883"
"290","HGNC:24668"
"291","HGNC:3534"
"292","HGNC:19048"
"293","HGNC:2343"
"294","HGNC:9666"
"295","HGNC:19181"
"296","HGNC:25360"
"297","HGNC:1397"
"298","HGNC:9023"
"299","HGNC:11949"
"300","HGNC:6647"
"301","HGNC:25009"
"302","HGNC:11510"
"303","HGNC:11161"
"304","HGNC:9958"
"305","HGNC:6341"
"306","HGNC:14951"
"307","HGNC:2172"
"308","HGNC:29043"
"309","HGNC:5962"
"310","HGNC:2665"
"311","HGNC:2336"
"312","HGNC:6490"
"313","HGNC:5208"
"314","HGNC:6121"
"315","HGNC:23143"
"316","HGNC:18270"
"317","HGNC:6250"
"318","HGNC:19689"
"319","HGNC:7745"
"320","HGNC:24682"
"321","HGNC:9647"
"322","HGNC:1857"
"323","HGNC:12601"
"324","HGNC:11768"
"325","HGNC:25355"
"326","HGNC:3418"
"327","HGNC:29685"
"328","HGNC:17168"
"329","HGNC:11532"
"330","HGNC:19711"
"331","HGNC:21208"
"332","HGNC:6518"
"333","HGNC:3401"
"334","HGNC:30262"
"335","HGNC:9509"
"336","HGNC:16812"
"337","HGNC:15983"
"338","HGNC:17494"
"339","HGNC:27302"
"340","HGNC:129"
"341","HGNC:6546"
"342","HGNC:29561"
"343","HGNC:4416"
"344","HGNC:25356"
"345","HGNC:1232"
"346","HGNC:18025"
"347","HGNC:21729"
"348","HGNC:11582"
"349","HGNC:28596"
"350","HGNC:1968"
"351","HGNC:14341"
"352","HGNC:164"
"353","HGNC:7468"
"354","HGNC:10484"
"355","HGNC:1952"
"356","HGNC:14074"
"357","HGNC:17655"
"358","HGNC:3700"
"359","HGNC:10671"
"360","HGNC:393"
"361","HGNC:13030"
"362","HGNC:26970"
"363","HGNC:16400"
"364","HGNC:12015"
"365","HGNC:14966"
"366","HGNC:7623"
"367","HGNC:24284"
"368","HGNC:18466"
"369","HGNC:10440"
"370","HGNC:17213"
"371","HGNC:11191"
"372","HGNC:29508"
"373","HGNC:195"
"374","HGNC:11811"
"375","HGNC:13345"
"376","HGNC:15625"
"377","HGNC:7559"
"378","HGNC:29250"
"379","HGNC:6909"
"380","HGNC:603"
"381","HGNC:9201"
"382","HGNC:2978"
"383","HGNC:23805"
"384","HGNC:4801"
"385","HGNC:4803"
"386","HGNC:24245"
"387","HGNC:8515"
"388","HGNC:6278"
"389","HGNC:26147"
"390","HGNC:1424"
"391","HGNC:7224"
"392","HGNC:3260"
"393","HGNC:26498"
"394","HGNC:30391"
"395","HGNC:9282"
"396","HGNC:34383"
"397","HGNC:427"
"398","HGNC:12805"
"399","HGNC:11285"
"400","HGNC:11233"
"401","HGNC:16412"
"402","HGNC:2597"
"403","HGNC:11187"
"404","HGNC:4796"
"405","HGNC:24595"
"406","HGNC:13886"
"407","HGNC:13887"
"408","HGNC:15714"
"409","HGNC:9276"
"410","HGNC:11025"
"411","HGNC:30228"
"412","HGNC:26276"
"413","HGNC:10889"
"414","HGNC:10888"
"415","HGNC:3374"
"416","HGNC:14312"
"417","HGNC:18451"
"418","HGNC:19750"
"419","HGNC:1445"
"420","HGNC:11529"
"421","HGNC:7325"
"422","HGNC:7329"
"423","HGNC:13590"
"424","HGNC:6585"
"425","HGNC:3969"
"426","HGNC:8008"
"427","HGNC:25523"
"428","HGNC:23166"
"429","HGNC:3218"
"430","HGNC:20748"
"431","HGNC:13221"
"432","HGNC:8855"
"433","HGNC:25808"
"434","HGNC:28027"
"435","HGNC:10942"
"436","HGNC:21014"
"437","HGNC:4241"
"438","HGNC:16287"
"439","HGNC:11802"
"440","HGNC:11765"
"441","HGNC:24669"
"442","HGNC:853"
"443","HGNC:16732"
"444","HGNC:3097"
"445","HGNC:20581"
"446","HGNC:11257"
"447","HGNC:428"
"448","HGNC:24259"
"449","HGNC:16950"
"450","HGNC:145"
"451","HGNC:2858"
"452","HGNC:24415"
"453","HGNC:2711"
"454","HGNC:24862"
"455","HGNC:14348"
"456","HGNC:11449"
"457","HGNC:26158"
"458","HGNC:6904"
"459","HGNC:4247"
"460","HGNC:10801"
"461","HGNC:10872"
"462","HGNC:17264"
"463","HGNC:25786"
"464","HGNC:1706"
"465","HGNC:3255"
"466","HGNC:10297"
"467","HGNC:282"
"468","HGNC:26038"
"469","HGNC:30859"
"470","HGNC:19263"
"471","HGNC:105"
"472","HGNC:12858"
"473","HGNC:28385"
"474","HGNC:2150"
"475","HGNC:33848"
"476","HGNC:14927"
"477","HGNC:29569"
"478","HGNC:3703"
"479","HGNC:14025"
"480","HGNC:2895"
"481","HGNC:7905"
"482","HGNC:1148"
"483","HGNC:7027"
"484","HGNC:26877"
"485","HGNC:15561"
"486","HGNC:6000"
"487","HGNC:8622"
"488","HGNC:24592"
"489","HGNC:4318"
"490","HGNC:1052"
"491","HGNC:3435"
"492","HGNC:9451"
"493","HGNC:16084"
"494","HGNC:5201"
"495","HGNC:28178"
"496","HGNC:18292"
"497","HGNC:24071"
"498","HGNC:17063"
"499","HGNC:6530"
"500","HGNC:6949"
"501","HGNC:2678"
"502","HGNC:2561"
"503","HGNC:5028"
"504","HGNC:6469"
"505","HGNC:14881"
