"","HGNC.ID"
"1","HGNC:14825"
"2","HGNC:31275"
"3","HGNC:15079"
"4","HGNC:28706"
"5","HGNC:24517"
"6","HGNC:24023"
"7","HGNC:25284"
"8","HGNC:28208"
"9","HGNC:24149"
"10","HGNC:40020"
"11","HGNC:26062"
"12","HGNC:26693"
"13","HGNC:11914"
"14","HGNC:24188"
"15","HGNC:32308"
"16","HGNC:19268"
"17","HGNC:10601"
"18","HGNC:16754"
"19","HGNC:26914"
"20","HGNC:26052"
"21","HGNC:28116"
"22","HGNC:15661"
"23","HGNC:7542"
"24","HGNC:24114"
"25","HGNC:20570"
"26","HGNC:14478"
"27","HGNC:42950"
"28","HGNC:37099"
"29","HGNC:30910"
"30","HGNC:32151"
"31","HGNC:24007"
"32","HGNC:25016"
"33","HGNC:42951"
"34","HGNC:30577"
"35","HGNC:7171"
"36","HGNC:1729"
"37","HGNC:33941"
"38","HGNC:1730"
"39","HGNC:20863"
"40","HGNC:29831"
"41","HGNC:24193"
"42","HGNC:27916"
"43","HGNC:29368"
"44","HGNC:9412"
"45","HGNC:26428"
"46","HGNC:25852"
"47","HGNC:30309"
"48","HGNC:29037"
"49","HGNC:19366"
"50","HGNC:19764"
"51","HGNC:11912"
"52","HGNC:28390"
"53","HGNC:34297"
"54","HGNC:24026"
"55","HGNC:15515"
"56","HGNC:3232"
"57","HGNC:27007"
"58","HGNC:12759"
"59","HGNC:12003"
"60","HGNC:26546"
"61","HGNC:44204"
"62","HGNC:29207"
"63","HGNC:2773"
"64","HGNC:27915"
"65","HGNC:30801"
"66","HGNC:16816"
"67","HGNC:10315"
"68","HGNC:32947"
"69","HGNC:5350"
"70","HGNC:26226"
"71","HGNC:23618"
"72","HGNC:24157"
"73","HGNC:16005"
"74","HGNC:11910"
"75","HGNC:26265"
"76","HGNC:14448"
"77","HGNC:4930"
"78","HGNC:29041"
"79","HGNC:22983"
"80","HGNC:20855"
"81","HGNC:25570"
"82","HGNC:12644"
"83","HGNC:12636"
"84","HGNC:11924"
"85","HGNC:18185"
"86","HGNC:3350"
"87","HGNC:1380"
"88","HGNC:13445"
"89","HGNC:11010"
"90","HGNC:23687"
"91","HGNC:30628"
"92","HGNC:29681"
"93","HGNC:33719"
"94","HGNC:17447"
"95","HGNC:16913"
"96","HGNC:17497"
"97","HGNC:30316"
"98","HGNC:12500"
"99","HGNC:8891"
"100","HGNC:23163"
"101","HGNC:2257"
"102","HGNC:2772"
"103","HGNC:26002"
"104","HGNC:26730"
"105","HGNC:11296"
"106","HGNC:9138"
"107","HGNC:24078"
"108","HGNC:29251"
"109","HGNC:13581"
"110","HGNC:24847"
"111","HGNC:13585"
"112","HGNC:25054"
"113","HGNC:13539"
"114","HGNC:25262"
"115","HGNC:2024"
"116","HGNC:7940"
"117","HGNC:28513"
"118","HGNC:25715"
"119","HGNC:11923"
"120","HGNC:17693"
"121","HGNC:32038"
"122","HGNC:32037"
"123","HGNC:28567"
"124","HGNC:22125"
"125","HGNC:28840"
"126","HGNC:14086"
"127","HGNC:29295"
"128","HGNC:28841"
"129","HGNC:31971"
"130","HGNC:27997"
"131","HGNC:28415"
"132","HGNC:30583"
"133","HGNC:49179"
"134","HGNC:48813"
"135","HGNC:49178"
"136","HGNC:27995"
"137","HGNC:24074"
"138","HGNC:27996"
"139","HGNC:30693"
"140","HGNC:26764"
"141","HGNC:13576"
"142","HGNC:24908"
"143","HGNC:29485"
"144","HGNC:27005"
"145","HGNC:29602"
"146","HGNC:9347"
"147","HGNC:29173"
"148","HGNC:25488"
"149","HGNC:29408"
"150","HGNC:28670"
"151","HGNC:24609"
"152","HGNC:29995"
"153","HGNC:1511"
"154","HGNC:29157"
"155","HGNC:18407"
"156","HGNC:24578"
"157","HGNC:29131"
"158","HGNC:27653"
"159","HGNC:32350"
"160","HGNC:24686"
"161","HGNC:17575"
"162","HGNC:12936"
"163","HGNC:28339"
"164","HGNC:5249"
"165","HGNC:26717"
"166","HGNC:26604"
"167","HGNC:28127"
"168","HGNC:29249"
"169","HGNC:30232"
"170","HGNC:28026"
"171","HGNC:25528"
"172","HGNC:26088"
"173","HGNC:21299"
"174","HGNC:7033"
"175","HGNC:18341"
"176","HGNC:18367"
"177","HGNC:18368"
"178","HGNC:20449"
"179","HGNC:30297"
"180","HGNC:25540"
"181","HGNC:24018"
"182","HGNC:28246"
"183","HGNC:26791"
"184","HGNC:14905"
"185","HGNC:27006"
"186","HGNC:30313"
"187","HGNC:18477"
"188","HGNC:24056"
"189","HGNC:390"
"190","HGNC:389"
"191","HGNC:26001"
"192","HGNC:1491"
"193","HGNC:32068"
"194","HGNC:7650"
"195","HGNC:5301"
"196","HGNC:27393"
"197","HGNC:25978"
"198","HGNC:29038"
"199","HGNC:13414"
"200","HGNC:9031"
"201","HGNC:9038"
"202","HGNC:9033"
"203","HGNC:30040"
"204","HGNC:9032"
"205","HGNC:26354"
"206","HGNC:26538"
"207","HGNC:24190"
"208","HGNC:25762"
"209","HGNC:31791"
"210","HGNC:1712"
"211","HGNC:19167"
"212","HGNC:28819"
"213","HGNC:24973"
"214","HGNC:3298"
"215","HGNC:25076"
"216","HGNC:9858"
"217","HGNC:18533"
"218","HGNC:32071"
"219","HGNC:15945"
