"","entrez_id","HGNC.ID"
"1",79501,"HGNC:14825"
"2",729759,"HGNC:31275"
"3",81399,"HGNC:15079"
"4",148398,"HGNC:28706"
"5",26155,"HGNC:24517"
"6",339451,"HGNC:24023"
"7",84069,"HGNC:25284"
"8",84808,"HGNC:28208"
"9",57801,"HGNC:24149"
"10",9636,"HGNC:4053"
"11",375790,"HGNC:329"
"12",401934,"HGNC:40020"
"13",54991,"HGNC:26062"
"14",254173,"HGNC:26693"
"15",8784,"HGNC:11914"
"16",7293,"HGNC:11918"
"17",51150,"HGNC:24188"
"18",126792,"HGNC:17978"
"19",388581,"HGNC:32308"
"20",118424,"HGNC:19268"
"21",6339,"HGNC:10601"
"22",116983,"HGNC:16754"
"23",126789,"HGNC:26914"
"24",54973,"HGNC:26052"
"25",80772,"HGNC:28116"
"26",83756,"HGNC:15661"
"27",1855,"HGNC:3084"
"28",54587,"HGNC:7542"
"29",54998,"HGNC:24114"
"30",81669,"HGNC:20570"
"31",55052,"HGNC:14478"
"32",441869,"HGNC:42950"
"33",643965,"HGNC:37099"
"34",64856,"HGNC:30910"
"35",219293,"HGNC:32151"
"36",83858,"HGNC:24007"
"37",55210,"HGNC:25567"
"38",339453,"HGNC:25186"
"39",29101,"HGNC:25016"
"40",643988,"HGNC:42951"
"41",142678,"HGNC:30577"
"42",8510,"HGNC:7171"
"43",984,"HGNC:1729"
"44",728661,"HGNC:33941"
"45",728642,"HGNC:1730"
"46",9906,"HGNC:20863"
"47",65220,"HGNC:29831"
"48",2782,"HGNC:4396"
"49",163688,"HGNC:24193"
"50",339456,"HGNC:27916"
"51",85452,"HGNC:29368"
"52",2563,"HGNC:4084"
"53",5590,"HGNC:9412"
"54",199990,"HGNC:26428"
"55",6497,"HGNC:10896"
"56",79906,"HGNC:25852"
"57",11079,"HGNC:30309"
"58",5192,"HGNC:8851"
"59",9651,"HGNC:29037"
"60",55229,"HGNC:19366"
"61",388585,"HGNC:19764"
"62",8764,"HGNC:11912"
"63",127281,"HGNC:28390"
"64",79258,"HGNC:14668"
"65",100287898,"HGNC:34297"
"66",140625,"HGNC:24026"
"67",63976,"HGNC:14000"
"68",27237,"HGNC:15515"
"69",1953,"HGNC:3232"
"70",127262,"HGNC:27007"
"71",49856,"HGNC:12759"
"72",7161,"HGNC:12003"
"73",148870,"HGNC:26546"
"74",388588,"HGNC:44204"
"75",57470,"HGNC:29207"
"76",9731,"HGNC:24866"
"77",1677,"HGNC:2773"
"78",339448,"HGNC:27915"
"79",55966,"HGNC:30801"
"80",261734,"HGNC:19104"
"81",8514,"HGNC:6229"
"82",26038,"HGNC:16816"
"83",6146,"HGNC:10315"
"84",388591,"HGNC:32947"
"85",23463,"HGNC:5350"
"86",390992,"HGNC:26226"
"87",387509,"HGNC:23618"
"88",11332,"HGNC:24157"
"89",54626,"HGNC:16005"
"90",83715,"HGNC:13281"
"91",8718,"HGNC:11910"
"92",57449,"HGNC:29105"
"93",79707,"HGNC:26265"
"94",80835,"HGNC:14448"
"95",3104,"HGNC:4930"
"96",9903,"HGNC:29041"
"97",148479,"HGNC:22983"
"98",90326,"HGNC:20855"
"99",55735,"HGNC:25570"
"100",23261,"HGNC:18806"
"101",9341,"HGNC:12644"
"102",8863,"HGNC:8847"
"103",10911,"HGNC:12636"
"104",3604,"HGNC:11924"
"105",11315,"HGNC:16369"
"106",54206,"HGNC:18185"
"107",50651,"HGNC:17939"
"108",473,"HGNC:9965"
"109",2023,"HGNC:3350"
"110",765,"HGNC:1380"
"111",155184,"HGNC:13445"
"112",6518,"HGNC:11010"
"113",80045,"HGNC:23687"
"114",9563,"HGNC:4795"
"115",80176,"HGNC:30628"
"116",84275,"HGNC:29681"
"117",199953,"HGNC:33719"
"118",5293,"HGNC:8977"
"119",22883,"HGNC:17447"
"120",56998,"HGNC:16913"
"121",84328,"HGNC:17497"
"122",64802,"HGNC:17877"
