"","Expression Type","Number of Genes","HPO.MP","Expression"
"1","Human Genes with Expression >/= 0.1 TPM",837,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"2","Human Genes with Expression >/= 0.1 TPM",770,"Abnormality of connective tissue+adipose tissue phenotype","No"
"3","Human Genes with Expression >/= 0.1 TPM",344,"Abnormality of head or neck+craniofacial phenotype","No"
"4","Human Genes with Expression >/= 0.1 TPM",837,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"5","Human Genes with Expression >/= 0.1 TPM",333,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"6","Human Genes with Expression >/= 0.1 TPM",2336,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"7","Human Genes with Expression >/= 0.1 TPM",3992,"Abnormality of the digestive system+taste/olfaction phenotype","No"
"8","Human Genes with Expression >/= 0.1 TPM",3992,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"9","Human Genes with Expression >/= 0.1 TPM",3992,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"10","Human Genes with Expression >/= 0.1 TPM",1019,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"11","Human Genes with Expression >/= 0.1 TPM",3155,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
"12","Human Genes with Expression >/= 0.1 TPM",3155,"Abnormality of the genitourinary system+reproductive system phenotype","No"
"13","Human Genes with Expression >/= 0.1 TPM",401,"Abnormality of the immune system+immune system phenotype","No"
"14","Human Genes with Expression >/= 0.1 TPM",659,"Abnormality of the integument+pigmentation phenotype","No"
"15","Human Genes with Expression >/= 0.1 TPM",659,"Abnormality of the integument+integument phenotype","No"
"16","Human Genes with Expression >/= 0.1 TPM",643,"Abnormality of the musculature+muscle phenotype","No"
"17","Human Genes with Expression >/= 0.1 TPM",5023,"Abnormality of the nervous system+nervous system phenotype","No"
"18","Human Genes with Expression >/= 0.1 TPM",5023,"Abnormality of the nervous system+taste/olfaction phenotype","No"
"19","Human Genes with Expression >/= 0.1 TPM",317,"Abnormality of the respiratory system+respiratory system phenotype","No"
"20","Human Genes with Expression >/= 0.1 TPM",643,"Abnormality of the skeletal system+skeleton phenotype","No"
"21","Human Genes with Expression >/= 0.1 TPM",643,"Abnormality of the skeletal system+growth/size/body region phenotype","No"
"22","Human Genes with Expression >/= 0.1 TPM",2785,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","Yes"
"23","Human Genes with Expression >/= 0.1 TPM",6473,"Abnormality of connective tissue+adipose tissue phenotype","Yes"
"24","Human Genes with Expression >/= 0.1 TPM",3277,"Abnormality of head or neck+craniofacial phenotype","Yes"
"25","Human Genes with Expression >/= 0.1 TPM",2785,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","Yes"
"26","Human Genes with Expression >/= 0.1 TPM",3289,"Abnormality of the breast+endocrine/exocrine gland phenotype","Yes"
"27","Human Genes with Expression >/= 0.1 TPM",15770,"Abnormality of the cardiovascular system+cardiovascular system phenotype","Yes"
"28","Human Genes with Expression >/= 0.1 TPM",32218,"Abnormality of the digestive system+digestive/alimentary phenotype","Yes"
"29","Human Genes with Expression >/= 0.1 TPM",32218,"Abnormality of the digestive system+liver/biliary system phenotype","Yes"
"30","Human Genes with Expression >/= 0.1 TPM",32218,"Abnormality of the digestive system+taste/olfaction phenotype","Yes"
"31","Human Genes with Expression >/= 0.1 TPM",9844,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","Yes"
"32","Human Genes with Expression >/= 0.1 TPM",33055,"Abnormality of the genitourinary system+reproductive system phenotype","Yes"
"33","Human Genes with Expression >/= 0.1 TPM",33055,"Abnormality of the genitourinary system+renal/urinary system phenotype","Yes"
"34","Human Genes with Expression >/= 0.1 TPM",3220,"Abnormality of the immune system+immune system phenotype","Yes"
"35","Human Genes with Expression >/= 0.1 TPM",6584,"Abnormality of the integument+integument phenotype","Yes"
"36","Human Genes with Expression >/= 0.1 TPM",6584,"Abnormality of the integument+pigmentation phenotype","Yes"
"37","Human Genes with Expression >/= 0.1 TPM",2979,"Abnormality of the musculature+muscle phenotype","Yes"
"38","Human Genes with Expression >/= 0.1 TPM",49298,"Abnormality of the nervous system+nervous system phenotype","Yes"
"39","Human Genes with Expression >/= 0.1 TPM",49298,"Abnormality of the nervous system+taste/olfaction phenotype","Yes"
"40","Human Genes with Expression >/= 0.1 TPM",3304,"Abnormality of the respiratory system+respiratory system phenotype","Yes"
"41","Human Genes with Expression >/= 0.1 TPM",2979,"Abnormality of the skeletal system+skeleton phenotype","Yes"
"42","Human Genes with Expression >/= 0.1 TPM",2979,"Abnormality of the skeletal system+growth/size/body region phenotype","Yes"
"43","Human Genes with Expression >/= 1 TPM",1505,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"44","Human Genes with Expression >/= 1 TPM",1687,"Abnormality of connective tissue+adipose tissue phenotype","No"
"45","Human Genes with Expression >/= 1 TPM",791,"Abnormality of head or neck+craniofacial phenotype","No"
"46","Human Genes with Expression >/= 1 TPM",1505,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"47","Human Genes with Expression >/= 1 TPM",783,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"48","Human Genes with Expression >/= 1 TPM",4678,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"49","Human Genes with Expression >/= 1 TPM",8893,"Abnormality of the digestive system+taste/olfaction phenotype","No"
"50","Human Genes with Expression >/= 1 TPM",8893,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"51","Human Genes with Expression >/= 1 TPM",8893,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"52","Human Genes with Expression >/= 1 TPM",2336,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"53","Human Genes with Expression >/= 1 TPM",7538,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
