"","mp.top.term","MGI.ID","MP.ID","MP.Term","mp.description","TS28.mutant.expression.detected","hp.top.term","HPO.superclass.description","mp.top.description"
"1","MP:0001186","MGI:95523","MP:0011627","decreased skin pigmentation","pigmentation phenotype","Yes","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"2","MP:0001186","MGI:102563","MP:0005102","abnormal iris pigmentation","pigmentation phenotype","Yes","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"3","MP:0001186","MGI:104627","MP:0002095","abnormal skin pigmentation","pigmentation phenotype","Yes","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"4","MP:0001186","MGI:1195272","MP:0004381","abnormal hair follicle melanocyte morphology","pigmentation phenotype","Yes","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"5","MP:0001186","MGI:1931001","MP:0002095","abnormal skin pigmentation","pigmentation phenotype","No","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"6","MP:0001186","MGI:87853","MP:0002095","abnormal skin pigmentation","pigmentation phenotype","Yes","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"7","MP:0001186","MGI:95655","MP:0005201","abnormal retinal pigment epithelium morphology","pigmentation phenotype","No","HP:0001574","Abnormality of the integument","pigmentation phenotype"
"8","MP:0002006","MGI:95482","MP:0008019","increased liver tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"9","MP:0002006","MGI:104556","MP:0010300","increased skin tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"10","MP:0002006","MGI:1861942","MP:0008019","increased liver tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"11","MP:0002006","MGI:88064","MP:0006262","increased testis tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"12","MP:0002006","MGI:1339972","MP:0008019","increased liver tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"13","MP:0002006","MGI:104565","MP:0010320","increased pituitary gland tumor incidence","neoplasm","Yes","HP:0002664","Neoplasm","neoplasm"
"14","MP:0003631","MGI:101757","MP:0000930","wavy neural tube","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"15","MP:0003631","MGI:1889008","MP:0000914","exencephaly","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"16","MP:0003631","MGI:106613","MP:0000914","exencephaly","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"17","MP:0003631","MGI:101757","MP:0002151","abnormal neural tube morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"18","MP:0003631","MGI:101764","MP:0004077","abnormal striatum morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"19","MP:0003631","MGI:101764","MP:0012468","decreased striatum area","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"20","MP:0003631","MGI:99414","MP:0000785","telencephalon hypoplasia","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"21","MP:0003631","MGI:99414","MP:0000787","abnormal telencephalon morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"22","MP:0003631","MGI:95389","MP:0012089","decreased midbrain size","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"23","MP:0003631","MGI:101791","MP:0004100","abnormal spinal cord interneuron morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"24","MP:0003631","MGI:1306796","MP:0000914","exencephaly","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"25","MP:0003631","MGI:1306796","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"26","MP:0003631","MGI:88121","MP:0005645","abnormal hypothalamus physiology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"27","MP:0003631","MGI:107321","MP:0000788","abnormal cerebral cortex morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"28","MP:0003631","MGI:107321","MP:0000789","thickened cerebral cortex","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"29","MP:0003631","MGI:95411","MP:0000961","abnormal dorsal root ganglion morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"30","MP:0003631","MGI:95411","MP:0000964","small dorsal root ganglion","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"31","MP:0003631","MGI:101926","MP:0000914","exencephaly","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"32","MP:0003631","MGI:95843","MP:0000787","abnormal telencephalon morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"33","MP:0003631","MGI:95843","MP:0004277","abnormal lateral ganglionic eminence morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"34","MP:0003631","MGI:95668","MP:0000841","abnormal hindbrain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"35","MP:0003631","MGI:95668","MP:0000848","abnormal pons morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"36","MP:0003631","MGI:95668","MP:0003632","abnormal nervous system morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"37","MP:0003631","MGI:109482","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"38","MP:0003631","MGI:95668","MP:0012132","abnormal midbrain-hindbrain boundary morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"39","MP:0003631","MGI:2447586","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"40","MP:0003631","MGI:95566","MP:0003400","kinked neural tube","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"41","MP:0003631","MGI:108554","MP:0003632","abnormal nervous system morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"42","MP:0003631","MGI:96067","MP:0012506","brain atrophy","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"43","MP:0003631","MGI:104565","MP:0010320","increased pituitary gland tumor incidence","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"44","MP:0003631","MGI:88026","MP:0000852","small cerebellum","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"45","MP:0003631","MGI:102720","MP:0001044","abnormal enteric nervous system morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"46","MP:0003631","MGI:102720","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"47","MP:0003631","MGI:95296","MP:0001056","abnormal cranial nerve morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"48","MP:0003631","MGI:1097716","MP:0000787","abnormal telencephalon morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"49","MP:0003631","MGI:95697","MP:0000952","abnormal CNS glial cell morphology","nervous system phenotype","No","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"50","MP:0003631","MGI:1097716","MP:0000832","abnormal thalamus morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"51","MP:0003631","MGI:1923041","MP:0000771","abnormal brain size","nervous system phenotype","No","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"52","MP:0003631","MGI:98277","MP:0000955","abnormal spinal cord morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"53","MP:0003631","MGI:98277","MP:0020529","ectopic thalamus","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"54","MP:0003631","MGI:1347474","MP:0011057","absent brain ependyma motile cilia","nervous system phenotype","No","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"55","MP:0003631","MGI:95275","MP:0012468","decreased striatum area","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"56","MP:0003631","MGI:88145","MP:0020083","decreased hippocampus volume","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"57","MP:0003631","MGI:95835","MP:0000784","forebrain hypoplasia","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"58","MP:0003631","MGI:1927753","MP:0000914","exencephaly","nervous system phenotype","No","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"59","MP:0003631","MGI:95729","MP:0000930","wavy neural tube","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"60","MP:0003631","MGI:104654","MP:0012490","abnormal cochlear VIII nucleus morphology","nervous system phenotype","No","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"61","MP:0003631","MGI:1347476","MP:0003400","kinked neural tube","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"62","MP:0003631","MGI:95729","MP:0002151","abnormal neural tube morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"63","MP:0003631","MGI:109482","MP:0000852","small cerebellum","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"64","MP:0003631","MGI:95663","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"65","MP:0003631","MGI:88121","MP:0000837","abnormal hypothalamus morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"66","MP:0003631","MGI:95275","MP:0004077","abnormal striatum morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"67","MP:0003631","MGI:95275","MP:0004277","abnormal lateral ganglionic eminence morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"68","MP:0003631","MGI:96067","MP:0002152","abnormal brain morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"69","MP:0003631","MGI:96174","MP:0000933","abnormal rhombomere morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"70","MP:0003631","MGI:95388","MP:0000788","abnormal cerebral cortex morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"71","MP:0003631","MGI:95835","MP:0000849","abnormal cerebellum morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"72","MP:0003631","MGI:2443963","MP:0004101","abnormal brain interneuron morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"73","MP:0003631","MGI:95294","MP:0006254","thin cerebral cortex","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"74","MP:0003631","MGI:109482","MP:0000849","abnormal cerebellum morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"75","MP:0003631","MGI:109482","MP:0000851","cerebellum hypoplasia","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"76","MP:0003631","MGI:104565","MP:0000635","pituitary gland hyperplasia","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"77","MP:0003631","MGI:95566","MP:0002151","abnormal neural tube morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"78","MP:0003631","MGI:109482","MP:0014185","cerebellum atrophy","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"79","MP:0003631","MGI:96067","MP:0000914","exencephaly","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"80","MP:0003631","MGI:99578","MP:0012468","decreased striatum area","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"81","MP:0003631","MGI:1289263","MP:0011380","enlarged brain ventricles","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"82","MP:0003631","MGI:95602","MP:0009940","abnormal hippocampus pyramidal cell morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"83","MP:0003631","MGI:95621","MP:0009939","abnormal hippocampus neuron morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"84","MP:0003631","MGI:104853","MP:0002151","abnormal neural tube morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"85","MP:0003631","MGI:1347476","MP:0000926","absent floor plate","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"86","MP:0003631","MGI:1347476","MP:0002151","abnormal neural tube morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
"87","MP:0003631","MGI:96182","MP:0012796","abnormal rhombomere 4 morphology","nervous system phenotype","Yes","HP:0000707","Abnormality of the nervous system","nervous system phenotype"
