"","mp.description","MGI.ID","MP.ID","MP.Term","TS28.mutant.expression.detected","mp.top.term.x","hp.top.term","HPO.superclass.description","mp.top.term.y"
"1","adipose tissue phenotype","MGI:99480","MP:0001780","decreased brown adipose tissue amount","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"2","adipose tissue phenotype","MGI:99480","MP:0002971","abnormal brown adipose tissue morphology","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"3","adipose tissue phenotype","MGI:1270845","MP:0014169","decreased brown adipose tissue mass","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"4","adipose tissue phenotype","MGI:1352467","MP:0009296","increased mammary fat pad weight","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"5","adipose tissue phenotype","MGI:103573","MP:0002971","abnormal brown adipose tissue morphology","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"6","adipose tissue phenotype","MGI:99480","MP:0000005","increased brown adipose tissue amount","Yes","MP:0005375","HP:0003549","Abnormality of connective tissue","MP:0005375"
"7","cardiovascular system phenotype","MGI:94885","MP:0005329","abnormal myocardium layer morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"8","cardiovascular system phenotype","MGI:87964","MP:0002833","increased heart weight","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"9","cardiovascular system phenotype","MGI:88467","MP:0005598","decreased ventricle muscle contractility","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"10","cardiovascular system phenotype","MGI:1916782","MP:0002833","increased heart weight","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"11","cardiovascular system phenotype","MGI:103580","MP:0000297","abnormal atrioventricular cushion morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"12","cardiovascular system phenotype","MGI:1306784","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"13","cardiovascular system phenotype","MGI:103556","MP:0003888","liver hemorrhage","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"14","cardiovascular system phenotype","MGI:102709","MP:0003070","increased vascular permeability","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"15","cardiovascular system phenotype","MGI:94885","MP:0003137","abnormal impulse conducting system conduction","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"16","cardiovascular system phenotype","MGI:94885","MP:0003141","cardiac fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"17","cardiovascular system phenotype","MGI:1306784","MP:0000650","mesocardia","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"18","cardiovascular system phenotype","MGI:1338946","MP:0001614","abnormal blood vessel morphology","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"19","cardiovascular system phenotype","MGI:95411","MP:0000300","thin atrioventricular cushion","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"20","cardiovascular system phenotype","MGI:88467","MP:0001182","lung hemorrhage","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"21","cardiovascular system phenotype","MGI:95487","MP:0000266","abnormal heart morphology","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"22","cardiovascular system phenotype","MGI:96608","MP:0003231","abnormal placenta vasculature","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"23","cardiovascular system phenotype","MGI:106918","MP:0005294","abnormal heart ventricle morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"24","cardiovascular system phenotype","MGI:1347466","MP:0005542","corneal vascularization","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"25","cardiovascular system phenotype","MGI:1916782","MP:0000275","heart hyperplasia","No","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"26","cardiovascular system phenotype","MGI:103580","MP:0002672","abnormal pharyngeal arch artery morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"27","cardiovascular system phenotype","MGI:95294","MP:0003141","cardiac fibrosis","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"28","cardiovascular system phenotype","MGI:88355","MP:0005329","abnormal myocardium layer morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
"29","cardiovascular system phenotype","MGI:109169","MP:0000266","abnormal heart morphology","Yes","MP:0005385","HP:0001626","Abnormality of the cardiovascular system","MP:0005385"
