"","MGI.ID","Structure","ALL.TS.mutant.expression.detected","Theiler Stage","Gene.Anatomy"
"1","MGI:101757","brain","Yes",20,"MGI:101757-brain"
"2","MGI:101757","brain","Yes",22,"MGI:101757-brain"
"3","MGI:101757","brain","Yes",24,"MGI:101757-brain"
"4","MGI:101757","brain","Yes",26,"MGI:101757-brain"
"5","MGI:101757","embryo","Ambiguous_NotSpecified_Contradictory",17,"MGI:101757-embryo"
"6","MGI:101757","metanephros","Yes",26,"MGI:101757-metanephros"
"7","MGI:101757","neural tube","Yes",17,"MGI:101757-neural tube"
"8","MGI:101759","dorsal root ganglion","Yes",22,"MGI:101759-dorsal root ganglion"
"9","MGI:101759","retina","Yes",22,"MGI:101759-retina"
"10","MGI:101759","spinal cord","Yes",22,"MGI:101759-spinal cord"
"11","MGI:101761","embryo","Ambiguous_NotSpecified_Contradictory",20,"MGI:101761-embryo"
"12","MGI:101761","lower jaw molar","Yes",25,"MGI:101761-lower jaw molar"
"13","MGI:101764","brain","Yes",24,"MGI:101764-brain"
"14","MGI:101764","brain","Yes",25,"MGI:101764-brain"
"15","MGI:101764","brain","Yes",26,"MGI:101764-brain"
"16","MGI:101764","corpus striatum","Yes",24,"MGI:101764-corpus striatum"
"17","MGI:101764","corpus striatum","Yes",26,"MGI:101764-corpus striatum"
"18","MGI:101765","brain","No",24,"MGI:101765-brain"
"19","MGI:101765","brain","No",25,"MGI:101765-brain"
"20","MGI:101765","brain","No",26,"MGI:101765-brain"
"21","MGI:101765","corpus striatum","No",24,"MGI:101765-corpus striatum"
"22","MGI:101765","corpus striatum","No",26,"MGI:101765-corpus striatum"
"23","MGI:101769","8-cell stage embryo","No",3,"MGI:101769-8-cell stage embryo"
"24","MGI:101769","blastocyst","No",5,"MGI:101769-blastocyst"
"25","MGI:101769","embryo","Yes",15,"MGI:101769-embryo"
"26","MGI:101769","embryo","Yes",20,"MGI:101769-embryo"
"27","MGI:101769","liver","Yes",21,"MGI:101769-liver"
"28","MGI:101774","liver","Ambiguous_NotSpecified_Contradictory",22,"MGI:101774-liver"
"29","MGI:101774","liver","Yes",23,"MGI:101774-liver"
"30","MGI:101776","cranial ganglion","Yes",22,"MGI:101776-cranial ganglion"
"31","MGI:101776","facial ganglion","Yes",22,"MGI:101776-facial ganglion"
"32","MGI:101776","future hindbrain lateral wall","Ambiguous_NotSpecified_Contradictory",15,"MGI:101776-future hindbrain lateral wall"
"33","MGI:101776","hindbrain","Yes",22,"MGI:101776-hindbrain"
"34","MGI:101776","neural tube lateral wall","Ambiguous_NotSpecified_Contradictory",15,"MGI:101776-neural tube lateral wall"
"35","MGI:101776","Rathke's pouch","No",17,"MGI:101776-Rathke's pouch"
"36","MGI:101776","trigeminal ganglion","Yes",22,"MGI:101776-trigeminal ganglion"
"37","MGI:101781","palatal shelf","Yes",21,"MGI:101781-palatal shelf"
"38","MGI:101782","lung","Yes",24,"MGI:101782-lung"
"39","MGI:101782","lung","Yes",25,"MGI:101782-lung"
"40","MGI:101782","lung","Yes",26,"MGI:101782-lung"
"41","MGI:101782","metanephros","Yes",24,"MGI:101782-metanephros"
"42","MGI:101782","metanephros","Yes",25,"MGI:101782-metanephros"
"43","MGI:101782","metanephros","Yes",26,"MGI:101782-metanephros"
"44","MGI:101784","anterior commissure","Yes",26,"MGI:101784-anterior commissure"
"45","MGI:101784","brain","Yes",17,"MGI:101784-brain"
"46","MGI:101784","brain","Yes",20,"MGI:101784-brain"
"47","MGI:101784","cerebellum","Yes",23,"MGI:101784-cerebellum"
"48","MGI:101784","cerebral cortex","Yes",21,"MGI:101784-cerebral cortex"
"49","MGI:101784","cerebral cortex","Yes",22,"MGI:101784-cerebral cortex"
"50","MGI:101784","cerebral cortex","Yes",23,"MGI:101784-cerebral cortex"
"51","MGI:101784","cerebral cortex","Yes",24,"MGI:101784-cerebral cortex"
"52","MGI:101784","cerebral cortex","Yes",25,"MGI:101784-cerebral cortex"
"53","MGI:101784","cerebral cortex","Yes",26,"MGI:101784-cerebral cortex"
"54","MGI:101784","cerebral cortex intermediate zone","Yes",23,"MGI:101784-cerebral cortex intermediate zone"
"55","MGI:101784","cerebral cortex marginal zone","Yes",26,"MGI:101784-cerebral cortex marginal zone"
"56","MGI:101784","cerebral cortex subventricular zone","Yes",23,"MGI:101784-cerebral cortex subventricular zone"
"57","MGI:101784","cerebral cortex subventricular zone","Yes",26,"MGI:101784-cerebral cortex subventricular zone"
"58","MGI:101784","cerebral cortex ventricular layer","Yes",22,"MGI:101784-cerebral cortex ventricular layer"
"59","MGI:101784","cerebral cortex ventricular layer","Yes",23,"MGI:101784-cerebral cortex ventricular layer"
"60","MGI:101784","cerebral cortex ventricular zone","Yes",25,"MGI:101784-cerebral cortex ventricular zone"
"61","MGI:101784","cerebral cortex ventricular zone","Yes",26,"MGI:101784-cerebral cortex ventricular zone"
"62","MGI:101784","cortical plate","Yes",26,"MGI:101784-cortical plate"
"63","MGI:101784","diencephalon","Yes",20,"MGI:101784-diencephalon"
"64","MGI:101784","diencephalon","Yes",21,"MGI:101784-diencephalon"
"65","MGI:101784","forebrain","Yes",17,"MGI:101784-forebrain"
"66","MGI:101784","forebrain ventricular layer","Yes",26,"MGI:101784-forebrain ventricular layer"
"67","MGI:101784","future arm mesenchyme","No",19,"MGI:101784-future arm mesenchyme"
"68","MGI:101784","future hindbrain","Yes",15,"MGI:101784-future hindbrain"
"69","MGI:101784","future midbrain","Yes",15,"MGI:101784-future midbrain"
"70","MGI:101784","future spinal cord","Yes",17,"MGI:101784-future spinal cord"
"71","MGI:101784","ganglionic eminence","Yes",20,"MGI:101784-ganglionic eminence"
"72","MGI:101784","ganglionic eminence","Yes",24,"MGI:101784-ganglionic eminence"
"73","MGI:101784","hindbrain","Yes",17,"MGI:101784-hindbrain"
"74","MGI:101784","hindbrain","Yes",22,"MGI:101784-hindbrain"
"75","MGI:101784","lateral ganglionic eminence","Yes",22,"MGI:101784-lateral ganglionic eminence"
"76","MGI:101784","metanephros","Yes",26,"MGI:101784-metanephros"
"77","MGI:101784","migrating neural crest","Yes",17,"MGI:101784-migrating neural crest"
"78","MGI:101784","myotome","Ambiguous_NotSpecified_Contradictory",17,"MGI:101784-myotome"
"79","MGI:101784","myotome","Yes",19,"MGI:101784-myotome"
"80","MGI:101784","neocortex","Yes",22,"MGI:101784-neocortex"
"81","MGI:101784","nervous system","Yes",21,"MGI:101784-nervous system"
"82","MGI:101784","neural ectoderm","Yes",15,"MGI:101784-neural ectoderm"
"83","MGI:101784","neural retinal epithelium","Yes",22,"MGI:101784-neural retinal epithelium"
"84","MGI:101784","neural tube","Yes",15,"MGI:101784-neural tube"
"85","MGI:101784","neural tube","Yes",17,"MGI:101784-neural tube"
"86","MGI:101784","optic chiasma","Yes",23,"MGI:101784-optic chiasma"
"87","MGI:101784","pancreas","Yes",20,"MGI:101784-pancreas"
"88","MGI:101784","pancreas","Yes",23,"MGI:101784-pancreas"
"89","MGI:101784","pancreas primordium","Yes",18,"MGI:101784-pancreas primordium"
"90","MGI:101784","prethalamus","Yes",22,"MGI:101784-prethalamus"
"91","MGI:101784","retina","Yes",21,"MGI:101784-retina"
"92","MGI:101784","retina","Yes",22,"MGI:101784-retina"
"93","MGI:101784","retina","Yes",23,"MGI:101784-retina"
"94","MGI:101784","retina","Yes",25,"MGI:101784-retina"
"95","MGI:101784","retina inner nuclear layer","Yes",26,"MGI:101784-retina inner nuclear layer"
"96","MGI:101784","retina nuclear layer","Yes",23,"MGI:101784-retina nuclear layer"
"97","MGI:101784","retina outer nuclear layer","Yes",26,"MGI:101784-retina outer nuclear layer"
"98","MGI:101784","telencephalon","Yes",19,"MGI:101784-telencephalon"
"99","MGI:101784","telencephalon","Yes",21,"MGI:101784-telencephalon"
"100","MGI:101784","telencephalon","Yes",24,"MGI:101784-telencephalon"
"101","MGI:101784","telencephalon pia mater","Yes",23,"MGI:101784-telencephalon pia mater"
"102","MGI:101784","trigeminal ganglion","Yes",18,"MGI:101784-trigeminal ganglion"
"103","MGI:101784","trigeminal ganglion","Yes",20,"MGI:101784-trigeminal ganglion"
"104","MGI:101784","trigeminal ganglion","Yes",22,"MGI:101784-trigeminal ganglion"
"105","MGI:101784","trunk dermomyotome","No",17,"MGI:101784-trunk dermomyotome"
"106","MGI:101784","trunk dermomyotome","No",19,"MGI:101784-trunk dermomyotome"
"107","MGI:101786","embryo","Ambiguous_NotSpecified_Contradictory",21,"MGI:101786-embryo"
"108","MGI:101791","1st branchial arch mandibular component mesenchyme derived from head mesoderm","Yes",15,"MGI:101791-1st branchial arch mandibular component mesenchyme derived from head mesoderm"
"109","MGI:101791","acoustic ganglion","Yes",17,"MGI:101791-acoustic ganglion"
"110","MGI:101791","acoustic ganglion","Yes",19,"MGI:101791-acoustic ganglion"
"111","MGI:101791","arytenoid swelling pre-cartilage condensation","Yes",19,"MGI:101791-arytenoid swelling pre-cartilage condensation"
"112","MGI:101791","basal columns","Yes",20,"MGI:101791-basal columns"
"113","MGI:101791","basal columns","Ambiguous_NotSpecified_Contradictory",21,"MGI:101791-basal columns"
"114","MGI:101791","basal columns","Yes",22,"MGI:101791-basal columns"
"115","MGI:101791","basal columns","Yes",23,"MGI:101791-basal columns"
"116","MGI:101791","basal columns","Yes",24,"MGI:101791-basal columns"
"117","MGI:101791","branchial arch","Yes",15,"MGI:101791-branchial arch"
"118","MGI:101791","branchial arch endoderm","Yes",19,"MGI:101791-branchial arch endoderm"
"119","MGI:101791","branchial arch mesenchyme","Yes",19,"MGI:101791-branchial arch mesenchyme"
"120","MGI:101791","cardiac muscle tissue","Yes",15,"MGI:101791-cardiac muscle tissue"
"121","MGI:101791","carotid artery","Yes",19,"MGI:101791-carotid artery"
"122","MGI:101791","central nervous system","Yes",15,"MGI:101791-central nervous system"
"123","MGI:101791","cerebellum","No",26,"MGI:101791-cerebellum"
"124","MGI:101791","cerebellum primordium","Yes",20,"MGI:101791-cerebellum primordium"
"125","MGI:101791","common bile duct","Yes",20,"MGI:101791-common bile duct"
"126","MGI:101791","common bile duct","Yes",24,"MGI:101791-common bile duct"
"127","MGI:101791","corpus striatum","Yes",24,"MGI:101791-corpus striatum"
"128","MGI:101791","cranial ganglion","Yes",18,"MGI:101791-cranial ganglion"
"129","MGI:101791","cranial ganglion","Yes",20,"MGI:101791-cranial ganglion"
"130","MGI:101791","cranial ganglion","Yes",21,"MGI:101791-cranial ganglion"
"131","MGI:101791","cranial ganglion","Yes",22,"MGI:101791-cranial ganglion"
"132","MGI:101791","cranial nerve","No",17,"MGI:101791-cranial nerve"
"133","MGI:101791","cranial nerve","Yes",19,"MGI:101791-cranial nerve"
"134","MGI:101791","diencephalon","Yes",19,"MGI:101791-diencephalon"
"135","MGI:101791","diencephalon lateral wall mantle layer","Yes",19,"MGI:101791-diencephalon lateral wall mantle layer"
"136","MGI:101791","dorsal mesocardium","Yes",20,"MGI:101791-dorsal mesocardium"
"137","MGI:101791","dorsal root ganglion","Yes",15,"MGI:101791-dorsal root ganglion"
"138","MGI:101791","dorsal root ganglion","Yes",16,"MGI:101791-dorsal root ganglion"
"139","MGI:101791","dorsal root ganglion","Yes",17,"MGI:101791-dorsal root ganglion"
"140","MGI:101791","dorsal root ganglion","Yes",19,"MGI:101791-dorsal root ganglion"
"141","MGI:101791","dorsal root ganglion","Yes",20,"MGI:101791-dorsal root ganglion"
"142","MGI:101791","dorsal root ganglion","Yes",25,"MGI:101791-dorsal root ganglion"
"143","MGI:101791","embryo","Ambiguous_NotSpecified_Contradictory",15,"MGI:101791-embryo"
"144","MGI:101791","embryo","Yes",17,"MGI:101791-embryo"
"145","MGI:101791","embryo endoderm","Yes",15,"MGI:101791-embryo endoderm"
"146","MGI:101791","embryo mesenchyme","Yes",15,"MGI:101791-embryo mesenchyme"
"147","MGI:101791","embryo mesoderm","Yes",15,"MGI:101791-embryo mesoderm"
"148","MGI:101791","facial ganglion","Yes",17,"MGI:101791-facial ganglion"
"149","MGI:101791","facial ganglion","Yes",19,"MGI:101791-facial ganglion"
"150","MGI:101791","facial ganglion","Ambiguous_NotSpecified_Contradictory",20,"MGI:101791-facial ganglion"
"151","MGI:101791","facial ganglion","Ambiguous_NotSpecified_Contradictory",21,"MGI:101791-facial ganglion"
"152","MGI:101791","facial ganglion","Ambiguous_NotSpecified_Contradictory",22,"MGI:101791-facial ganglion"
"153","MGI:101791","facial ganglion","Yes",24,"MGI:101791-facial ganglion"
"154","MGI:101791","foregut","Yes",18,"MGI:101791-foregut"
"155","MGI:101791","foregut-midgut junction epithelium","Yes",15,"MGI:101791-foregut-midgut junction epithelium"
"156","MGI:101791","foregut-midgut junction mesenchyme","Yes",15,"MGI:101791-foregut-midgut junction mesenchyme"
"157","MGI:101791","foregut gland","Yes",14,"MGI:101791-foregut gland"
"158","MGI:101791","foregut mesenchyme","Yes",15,"MGI:101791-foregut mesenchyme"
"159","MGI:101791","future spinal cord","No",15,"MGI:101791-future spinal cord"
"160","MGI:101791","future spinal cord","Yes",16,"MGI:101791-future spinal cord"
"161","MGI:101791","future spinal cord","Yes",17,"MGI:101791-future spinal cord"
