"","MGI.ID","MP.ID","MP.Term","mp.description","EMAPA.ID","EMAPA.Term","Gene.Anatomy","mp.ancestors","TS28.mutant.expression.detected","TS28.wt.expression.detected","Mutant.WT.Expression"
"1","MGI:1346832","MP:0002836","abnormal chorion morphology","embryo phenotype","EMAPA:16112","chorion","MGI:1346832-chorion","MP:0005380","Yes","Yes","Yes-Yes"
"2","MGI:1346832","MP:0009593","absent chorion","embryo phenotype","EMAPA:16112","chorion","MGI:1346832-chorion","MP:0005380","Yes","Yes","Yes-Yes"
"3","MGI:95729","MP:0000562","polydactyly","limbs/digits/tail phenotype","EMAPA:32725","limb digit","MGI:95729-limb digit","MP:0005371","Yes","Yes","Yes-Yes"
"4","MGI:95729","MP:0000564","syndactyly","limbs/digits/tail phenotype","EMAPA:32725","limb digit","MGI:95729-limb digit","MP:0005371","Yes","Yes","Yes-Yes"
"5","MGI:99851","MP:0001722","pale yolk sac","embryo phenotype","EMAPA:16085","yolk sac","MGI:99851-yolk sac","MP:0005380","Yes","Yes","Yes-Yes"
"6","MGI:96174","MP:0000039","abnormal otic capsule morphology","hearing/vestibular/ear phenotype","EMAPA:17596","otic capsule","MGI:96174-otic capsule","MP:0005377","No","Yes","No-Yes"
"7","MGI:95566","MP:0002151","abnormal neural tube morphology","nervous system phenotype","EMAPA:16164","neural tube","MGI:95566-neural tube","MP:0003631","Yes","Yes","Yes-Yes"
"8","MGI:95566","MP:0002151","abnormal neural tube morphology","embryo phenotype","EMAPA:16164","neural tube","MGI:95566-neural tube","MP:0005380","Yes","Yes","Yes-Yes"
"9","MGI:95566","MP:0000932","absent notochord","embryo phenotype","EMAPA:16191","notochord","MGI:95566-notochord","MP:0005380","Yes","Yes","Yes-Yes"
"10","MGI:95566","MP:0003400","kinked neural tube","nervous system phenotype","EMAPA:16164","neural tube","MGI:95566-neural tube","MP:0003631","Yes","Yes","Yes-Yes"
