Tissue.number	GTEX.tissues	GTEX.tissue	HPO.id	HPO.description	Notes	HPO.superclass.id	HPO.superclass.description	HPO.superclass.physiological.system																																																	
Tissue.1	Adipose - Subcutaneous	Adipose_Subcutaneous	HP:0009124	Abnormality of adipose tissue		HP:0003549	Abnormality of connective tissue	connective tissue																																																	
Tissue.2	Adipose - Visceral (Omentum)	Adipose_Visceral_(Omentum)	HP:0009124	Abnormality of adipose tissue		HP:0003549	Abnormality of connective tissue	connective tissue																																																	
Tissue.3	Adrenal Gland	Adrenal_Gland	HP:0000834	Abnormality of the adrenal glands		HP:0000818	Abnormality of the endocrine system	endocrine system																																																	
Tissue.4	Artery - Aorta	Artery_Aorta	HP:0011004	Abnormal systemic arterial morphology	morphology / physiology	HP:0001626	Abnormality of the cardiovascular system	cardiovascular system																																																	
Tissue.5	Artery - Coronary	Artery_Coronary	HP:0006704	Abnormal coronary artery morphology	morphology / physiology	HP:0001626	Abnormality of the cardiovascular system	cardiovascular system																																																	
Tissue.6	Artery - Tibial	Artery_Tibial	HP:0011004	Abnormal systemic arterial morphology	morphology / physiology	HP:0001626	Abnormality of the cardiovascular system	cardiovascular system																																																	
Tissue.7	Bladder	Bladder	HP:0000014	Abnormality of the bladder		HP:0000119	Abnormality of the genitourinary system	genitourinary system																																																	
Tissue.8	Brain - Amygdala	Brain_Amygdala	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.9	Brain - Anterior cingulate cortex (BA24)	Brain_Anterior_cingulate_cortex_(BA24)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.10	Brain - Caudate (basal ganglia)	Brain_Caudate_(basal_ganglia)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.11	Brain - Cerebellar Hemisphere	Brain_Cerebellar_Hemisphere	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.12	Brain - Cerebellum	Brain_Cerebellum	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.13	Brain - Cortex	Brain_Cortex	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.14	Brain - Frontal Cortex (BA9)	Brain_Frontal_Cortex_(BA9)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.15	Brain - Hippocampus	Brain_Hippocampus	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.16	Brain - Hypothalamus	Brain_Hypothalamus	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.17	Brain - Nucleus accumbens (basal ganglia)	Brain_Nucleus_accumbens_(basal_ganglia)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.18	Brain - Putamen (basal ganglia)	Brain_Putamen_(basal_ganglia)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.19	Brain - Spinal cord (cervical c-1)	Brain_Spinal_cord_(cervical_c-1)	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.20	Brain - Substantia nigra	Brain_Substantia_nigra	HP:0012443	Abnormality of brain morphology	HP:0012638 / Abnormality of nervous system physiology	HP:0000707	Abnormality of the nervous system	nervous system																																																	
Tissue.21	Breast - Mammary Tissue	Breast_Mammary_Tissue	HP:0000769	Abnormality of the breast		HP:0000769	Abnormality of the breast	breast																																																	
Tissue.22	Cells - EBV-transformed lymphocytes	Cells_EBV-transformed_lymphocytes					Cells	cells																																																	
