HGNC_ID	MGI_ID	IMPC_Viability
HGNC:10001	MGI:1098434	Viable
HGNC:10007	MGI:2384891	Lethal
HGNC:10009	MGI:1202882	Viable
HGNC:10021	MGI:2154952	Viable
HGNC:10024	MGI:97930	Viable
HGNC:1004	MGI:1924295	Lethal
HGNC:10044	MGI:97919	Viable
HGNC:1005	MGI:1332238	Viable
HGNC:10057	MGI:1346341	Viable
HGNC:10062	MGI:1925927	Lethal
HGNC:10064	MGI:1860040	Viable
HGNC:10065	MGI:1890659	Viable
HGNC:10075	MGI:1915147	Lethal
HGNC:1020	MGI:1914071	Lethal
HGNC:10251	MGI:107927	Subviable
HGNC:10258	MGI:104661	Subviable
HGNC:10289	MGI:1915525	Lethal
HGNC:1029	MGI:88144	Viable
HGNC:10297	MGI:103254	Lethal
HGNC:103	MGI:2151054	Lethal
HGNC:10336	MGI:98038	Viable
HGNC:1034	MGI:1891828	Lethal
HGNC:1036	MGI:1338017	Viable
HGNC:1037	MGI:105975	Viable
HGNC:10378	MGI:1926273	Lethal
HGNC:10379	MGI:2137204	Lethal
HGNC:10382	MGI:98085	Lethal
HGNC:10385	MGI:98105	Lethal
HGNC:10414	MGI:1351628	Viable
HGNC:10430	MGI:104558	Viable
HGNC:10439	MGI:2443419	Viable
HGNC:1044	MGI:88158	Viable
HGNC:10446	MGI:1930943	Viable
HGNC:10447	MGI:98179	Viable
HGNC:10451	MGI:98180	Subviable
HGNC:10452	MGI:98181	Lethal
HGNC:1046	MGI:1097714	Viable
HGNC:10467	MGI:1933947	Viable
HGNC:1047	MGI:1339972	Viable
HGNC:10473	MGI:102672	Lethal
HGNC:10483	MGI:99659	Lethal
HGNC:10484	MGI:99685	Lethal
HGNC:1049	MGI:1101760	Viable
HGNC:10496	MGI:1339467	Subviable
HGNC:10500	MGI:98217	Viable
HGNC:10519	MGI:1354724	Viable
HGNC:10521	MGI:98227	Viable
HGNC:1053	MGI:3611448	Viable
HGNC:10530	MGI:1277978	Lethal
HGNC:10535	MGI:1913647	Lethal
HGNC:10537	MGI:102809	Lethal
HGNC:10538	MGI:1309453	Lethal
HGNC:10549	MGI:1859293	Lethal
HGNC:10564	MGI:1346518	Viable
HGNC:10569	MGI:2683295	Viable
HGNC:10575	MGI:103033	Viable
HGNC:10589	MGI:106921	Viable
HGNC:10591	MGI:98250	Lethal
HGNC:10592	MGI:2687406	Viable
HGNC:10600	MGI:104696	Lethal
HGNC:10603	MGI:106362	Lethal
HGNC:10621	MGI:1306779	Subviable
HGNC:10625	MGI:3589281	Viable
HGNC:1063	MGI:2385271	Viable
HGNC:10647	MGI:1097153	Viable
HGNC:10648	MGI:102774	Viable
HGNC:10659	MGI:1349165	Viable
HGNC:1066	MGI:88174	Subviable
HGNC:10661	MGI:1349164	Viable
HGNC:10663	MGI:1918305	Lethal
HGNC:10664	MGI:1914535	Subviable
HGNC:10666	MGI:1860093	Viable
HGNC:10672	MGI:103556	Lethal
HGNC:10676	MGI:2149842	Viable
HGNC:10680	MGI:1914195	Lethal
HGNC:10681	MGI:1914930	Lethal
HGNC:10682	MGI:1913302	Lethal
HGNC:10698	MGI:1921386	Viable
HGNC:10700	MGI:1338759	Lethal
HGNC:10703	MGI:1924621	Viable
HGNC:10706	MGI:1916858	Lethal
HGNC:1071	MGI:88180	Lethal
HGNC:10717	MGI:1329016	Lethal
HGNC:10720	MGI:98279	Viable
HGNC:10728	MGI:1096347	Subviable
HGNC:10732	MGI:109244	Viable
HGNC:10738	MGI:1203727	Subviable
HGNC:10750	MGI:1345148	Subviable
HGNC:10752	MGI:1100878	Viable
HGNC:10761	MGI:1934229	Lethal
HGNC:10762	MGI:1921979	Viable
HGNC:10763	MGI:1935121	Viable
HGNC:10782	MGI:1916457	Lethal
HGNC:10784	MGI:1919443	Viable
HGNC:10786	MGI:1890577	Subviable
HGNC:10789	MGI:1926232	Lethal
HGNC:10817	MGI:1261415	Lethal
HGNC:10818	MGI:1350341	Viable
HGNC:10819	MGI:1098703	Viable
HGNC:1082	MGI:109328	Lethal
HGNC:10825	MGI:1346349	Viable
HGNC:10826	MGI:2138297	Viable
HGNC:1083	MGI:109327	Viable
HGNC:10831	MGI:700009	Viable
HGNC:10848	MGI:98297	Lethal
HGNC:10850	MGI:98299	Viable
HGNC:10861	MGI:2445190	Viable
HGNC:1087	MGI:1858494	Viable
HGNC:10880	MGI:98301	Viable
HGNC:10885	MGI:107576	Viable
HGNC:10886	MGI:1927664	Viable
HGNC:10894	MGI:1351645	Lethal
HGNC:10897	MGI:106203	Viable
HGNC:10898	MGI:1099835	Lethal
HGNC:1090	MGI:104627	Subviable
HGNC:10901	MGI:1351663	Viable
HGNC:10906	MGI:1201406	Viable
HGNC:10909	MGI:1315204	Lethal
HGNC:10923	MGI:1203732	Viable
HGNC:10924	MGI:1933438	Viable
HGNC:10925	MGI:2385183	Viable
HGNC:10927	MGI:2144585	Viable
HGNC:1093	MGI:1098242	Viable
HGNC:10931	MGI:2389216	Viable
HGNC:10939	MGI:105083	Viable
HGNC:10941	MGI:99917	Viable
HGNC:10942	MGI:2135601	Viable
HGNC:1095	MGI:3045315	Viable
HGNC:10962	MGI:1351872	Viable
HGNC:10968	MGI:1353479	Viable
HGNC:10969	MGI:1329012	Lethal
HGNC:10972	MGI:1336187	Viable
HGNC:10978	MGI:2447362	Subviable
HGNC:10979	MGI:1345283	Lethal
HGNC:10980	MGI:1353497	Viable
HGNC:10984	MGI:1330823	Viable
HGNC:10985	MGI:1342274	Lethal
HGNC:10989	MGI:1353498	Lethal
HGNC:10990	MGI:1353495	Viable
HGNC:11003	MGI:1927073	Viable
HGNC:11006	MGI:1095438	Lethal
HGNC:11010	MGI:1928369	Viable
HGNC:11015	MGI:1345282	Viable
HGNC:11025	MGI:1195264	Viable
HGNC:1103	MGI:99495	Lethal
HGNC:11037	MGI:2181411	Viable
HGNC:11040	MGI:2149330	Viable
HGNC:11041	MGI:2660847	Lethal
HGNC:11048	MGI:1270850	Subviable
HGNC:11049	MGI:94862	Viable
HGNC:1105	MGI:1891374	Viable
HGNC:11051	MGI:105090	Lethal
HGNC:11059	MGI:1347355	Viable
HGNC:11065	MGI:1337120	Subviable
HGNC:11066	MGI:1355323	Viable
HGNC:11070	MGI:107976	Viable
HGNC:11073	MGI:105064	Viable
HGNC:11076	MGI:1890662	Viable
HGNC:11077	MGI:105074	Viable
HGNC:11085	MGI:1315203	Viable
HGNC:1109	MGI:1933174	Viable
HGNC:11094	MGI:1096393	Subviable
HGNC:11102	MGI:1859183	Viable
HGNC:11103	MGI:1328366	Lethal
HGNC:11107	MGI:1933621	Subviable
HGNC:11108	MGI:1914243	Lethal
HGNC:11119	MGI:108075	Lethal
HGNC:1112	MGI:2444777	Lethal
HGNC:11127	MGI:99668	Viable
HGNC:11131	MGI:109356	Lethal
HGNC:11133	MGI:1914724	Lethal
HGNC:11134	MGI:1922877	Lethal
HGNC:11135	MGI:1914861	Lethal
HGNC:11137	MGI:2443935	Lethal
HGNC:11138	MGI:1277151	Viable
HGNC:11140	MGI:1889011	Viable
HGNC:11142	MGI:104754	Viable
HGNC:11148	MGI:1352745	Subviable
HGNC:11174	MGI:1860188	Lethal
HGNC:11185	MGI:1202296	Viable
HGNC:11186	MGI:1338015	Subviable
HGNC:11194	MGI:103559	Viable
HGNC:11214	MGI:2444120	Viable
HGNC:11219	MGI:98373	Viable
HGNC:1123	MGI:1333856	Viable
HGNC:11233	MGI:1858896	Viable
HGNC:11241	MGI:98282	Lethal
HGNC:11243	MGI:109242	Lethal
HGNC:11245	MGI:1917232	Viable
HGNC:11250	MGI:1349669	Viable
HGNC:11254	MGI:1343085	Lethal
HGNC:11255	MGI:98389	Viable
HGNC:11259	MGI:106660	Viable
HGNC:11268	MGI:1330237	Viable
HGNC:11275	MGI:98388	Lethal
HGNC:11276	MGI:1313261	Viable
HGNC:11279	MGI:109296	Lethal
HGNC:11280	MGI:107931	Viable
HGNC:11281	MGI:1344414	Viable
HGNC:11283	MGI:98397	Subviable
HGNC:1130	MGI:88215	Viable
HGNC:11304	MGI:1350930	Lethal
HGNC:1131	MGI:108384	Viable
HGNC:11312	MGI:106657	Viable
HGNC:11317	MGI:1920040	Lethal
HGNC:11322	MGI:1353511	Viable
HGNC:11324	MGI:1913506	Lethal
HGNC:11329	MGI:98326	Viable
HGNC:11344	MGI:1338881	Lethal
HGNC:11346	MGI:2135548	Viable
HGNC:11356	MGI:1355311	Viable
HGNC:11362	MGI:103063	Viable
HGNC:1137	MGI:3606486	Viable
HGNC:11371	MGI:1352508	Viable
HGNC:11393	MGI:894678	Lethal
HGNC:11394	MGI:1313271	Viable
HGNC:11402	MGI:1891338	Viable
HGNC:11406	MGI:1928487	Viable
HGNC:11407	MGI:1924735	Viable
HGNC:1142	MGI:1859549	Viable
HGNC:11431	MGI:1923396	Viable
HGNC:11433	MGI:109355	Viable
HGNC:11438	MGI:103077	Lethal
HGNC:1144	MGI:1338871	Viable
HGNC:11440	MGI:1928483	Lethal
HGNC:11442	MGI:1858210	Viable
HGNC:11443	MGI:1890156	Viable
HGNC:11444	MGI:107363	Lethal
HGNC:11449	MGI:1927234	Lethal
HGNC:11466	MGI:1923723	Lethal
HGNC:11467	MGI:107416	Lethal
HGNC:11469	MGI:1202400	Lethal
HGNC:11471	MGI:2441711	Lethal
HGNC:11477	MGI:98446	Lethal
HGNC:11491	MGI:99515	Lethal
HGNC:11496	MGI:1351334	Viable
HGNC:11503	MGI:1354961	Lethal
HGNC:11504	MGI:1201671	Viable
HGNC:11507	MGI:108081	Viable
HGNC:11509	MGI:99667	Subviable
HGNC:11514	MGI:1859545	Viable
HGNC:1152	MGI:1346013	Viable
HGNC:11536	MGI:2443028	Lethal
HGNC:11540	MGI:109129	Lethal
HGNC:11544	MGI:1916026	Lethal
HGNC:11546	MGI:1913500	Lethal
HGNC:11554	MGI:1312985	Viable
HGNC:11568	MGI:4936930	Viable
HGNC:11571	MGI:2387629	Lethal
HGNC:11573	MGI:98487	Subviable
HGNC:11578	MGI:1889508	Viable
HGNC:1158	MGI:88222	Viable
HGNC:11582	MGI:1917680	Lethal
HGNC:11583	MGI:3041197	Viable
HGNC:11590	MGI:107404	Subviable
HGNC:11593	MGI:1261436	Viable
HGNC:11600	MGI:2389465	Viable
HGNC:11603	MGI:102556	Lethal
HGNC:1161	MGI:1921357	Subviable
HGNC:11616	MGI:2385317	Viable
HGNC:11629	MGI:103180	Viable
HGNC:1163	MGI:1915971	Viable
HGNC:11634	MGI:98506	Subviable
HGNC:11640	MGI:1202876	Lethal
HGNC:11641	MGI:1202879	Lethal
HGNC:11644	MGI:1202305	Lethal
HGNC:11645	MGI:108398	Viable
HGNC:1165	MGI:2677061	Viable
HGNC:11658	MGI:98544	Viable
HGNC:1168	MGI:1915254	Subviable
HGNC:11693	MGI:98640	Viable
HGNC:11699	MGI:1349457	Viable
HGNC:1170	MGI:3041226	Viable
HGNC:11708	MGI:1928486	Subviable
HGNC:11713	MGI:1919884	Viable
HGNC:11714	MGI:101876	Lethal
HGNC:11716	MGI:109241	Viable
HGNC:1172	MGI:1915755	Lethal
HGNC:11724	MGI:98664	Lethal
HGNC:11726	MGI:109573	Viable
HGNC:11740	MGI:98821	Lethal
HGNC:11743	MGI:104672	Lethal
HGNC:11745	MGI:103239	Viable
HGNC:11753	MGI:103270	Lethal
HGNC:11755	MGI:88135	Viable
HGNC:11762	MGI:1354956	Viable
HGNC:11769	MGI:98727	Lethal
HGNC:11779	MGI:98732	Viable
HGNC:11784	MGI:98736	Lethal
HGNC:11785	MGI:98737	Viable
HGNC:11795	MGI:101875	Viable
HGNC:11796	MGI:98742	Subviable
HGNC:1180	MGI:1924265	Viable
HGNC:11805	MGI:103306	Viable
HGNC:11813	MGI:1321393	Lethal
HGNC:11816	MGI:1353432	Lethal
HGNC:11817	MGI:1353433	Viable
HGNC:11822	MGI:98754	Viable
HGNC:1184	MGI:107893	Viable
HGNC:11841	MGI:2441683	Viable
HGNC:11848	MGI:1346060	Viable
HGNC:1185	MGI:2442752	Viable
HGNC:11850	MGI:96824	Viable
HGNC:11856	MGI:2385173	Viable
HGNC:1186	MGI:2141505	Viable
HGNC:11861	MGI:1933210	Viable
HGNC:11862	MGI:1891463	Viable
HGNC:11868	MGI:1336209	Viable
HGNC:11872	MGI:1355335	Viable
HGNC:1189	MGI:2387603	Viable
HGNC:11891	MGI:104540	Viable
HGNC:11895	MGI:104960	Viable
HGNC:11913	MGI:1343050	Viable
HGNC:11914	MGI:894675	Viable
HGNC:11916	MGI:1314884	Viable
HGNC:11919	MGI:88336	Viable
HGNC:11924	MGI:1101059	Subviable
HGNC:11925	MGI:107414	Viable
HGNC:11932	MGI:2673064	Viable
HGNC:11940	MGI:1930958	Viable
HGNC:11945	MGI:105073	Lethal
HGNC:11946	MGI:105070	Lethal
HGNC:11953	MGI:99516	Viable
HGNC:11960	MGI:2138584	Viable
HGNC:11976	MGI:1932137	Viable
HGNC:11989	MGI:98790	Lethal
HGNC:11992	MGI:1197527	Lethal
HGNC:11998	MGI:98834	Subviable
HGNC:12000	MGI:2138319	Lethal
HGNC:12003	MGI:1336991	Subviable
HGNC:12006	MGI:1298386	Viable
HGNC:12007	MGI:1913564	Viable
HGNC:12009	MGI:98797	Lethal
HGNC:12017	MGI:1922066	Lethal
HGNC:12024	MGI:98815	Viable
HGNC:12032	MGI:101835	Lethal
HGNC:12036	MGI:108072	Lethal
HGNC:121	MGI:1933156	Viable
HGNC:1224	MGI:1277150	Viable
HGNC:12269	MGI:1328317	Viable
HGNC:12298	MGI:98823	Viable
HGNC:12307	MGI:1916966	Viable
HGNC:12311	MGI:1343458	Viable
HGNC:12313	MGI:1918614	Subviable
HGNC:12335	MGI:109526	Lethal
HGNC:12337	MGI:109524	Viable
HGNC:12338	MGI:109523	Viable
HGNC:12340	MGI:1927616	Lethal
HGNC:12347	MGI:2153272	Lethal
HGNC:12367	MGI:1913649	Lethal
HGNC:12370	MGI:1891414	Viable
HGNC:12371	MGI:1194909	Viable
HGNC:12383	MGI:1289332	Lethal
HGNC:12388	MGI:98852	Viable
HGNC:12392	MGI:1928373	Viable
HGNC:1241	MGI:88223	Viable
HGNC:12410	MGI:1858225	Viable
HGNC:12412	MGI:107861	Viable
HGNC:1242	MGI:88224	Viable
HGNC:12422	MGI:109572	Viable
HGNC:12425	MGI:1329045	Lethal
HGNC:12434	MGI:102960	Viable
HGNC:12440	MGI:1929470	Viable
HGNC:1245	MGI:88225	Viable
HGNC:12461	MGI:2149543	Lethal
HGNC:12462	MGI:1926074	Viable
HGNC:12472	MGI:102959	Viable
HGNC:12473	MGI:102944	Subviable
HGNC:12474	MGI:2384911	Viable
HGNC:12477	MGI:107411	Viable
HGNC:12478	MGI:2384997	Viable
HGNC:12480	MGI:1915171	Lethal
HGNC:12482	MGI:1914378	Viable
HGNC:12491	MGI:108278	Lethal
HGNC:12502	MGI:1197010	Subviable
HGNC:12506	MGI:1891307	Subviable
HGNC:12507	MGI:104889	Lethal
HGNC:12511	MGI:98512	Lethal
HGNC:12513	MGI:103149	Viable
HGNC:12517	MGI:98894	Viable
HGNC:1253	MGI:1270150	Viable
HGNC:12557	MGI:1923718	Subviable
HGNC:12560	MGI:1929785	Viable
HGNC:12565	MGI:1328357	Viable
HGNC:12566	MGI:1342278	Subviable
HGNC:12569	MGI:1095412	Lethal
HGNC:12578	MGI:98912	Viable
HGNC:1258	MGI:2136890	Viable
HGNC:12582	MGI:1914780	Lethal
HGNC:12597	MGI:1919338	Viable
HGNC:1260	MGI:1915134	Viable
HGNC:12605	MGI:2388124	Viable
HGNC:12608	MGI:894652	Lethal
HGNC:12609	MGI:2384312	Viable
HGNC:12611	MGI:1919857	Viable
HGNC:12612	MGI:1928898	Lethal
HGNC:12613	MGI:101857	Viable
HGNC:12617	MGI:1918722	Subviable
HGNC:12618	MGI:1858178	Viable
HGNC:12619	MGI:1921520	Viable
HGNC:12620	MGI:1353665	Viable
HGNC:12621	MGI:2144157	Lethal
HGNC:12623	MGI:1919936	Viable
HGNC:12624	MGI:1353655	Viable
HGNC:12626	MGI:2152450	Subviable
HGNC:12628	MGI:1347343	Lethal
HGNC:12636	MGI:1346329	Viable
HGNC:12644	MGI:1321389	Subviable
HGNC:12647	MGI:1336882	Viable
HGNC:1266	MGI:1891883	Viable
HGNC:12660	MGI:1277163	Subviable
HGNC:12669	MGI:106919	Subviable
HGNC:12681	MGI:106199	Viable
HGNC:12684	MGI:1343180	Viable
HGNC:12691	MGI:98931	Lethal
HGNC:12710	MGI:98938	Viable
HGNC:12712	MGI:2446237	Lethal
HGNC:12718	MGI:1261847	Lethal
HGNC:12729	MGI:104630	Lethal
HGNC:12730	MGI:1917810	Lethal
HGNC:12733	MGI:1098641	Lethal
HGNC:12738	MGI:104709	Viable
HGNC:12741	MGI:1341822	Lethal
HGNC:12754	MGI:1337100	Lethal
HGNC:12755	MGI:2443143	Subviable
HGNC:12760	MGI:1890651	Viable
HGNC:12761	MGI:103075	Lethal
HGNC:12765	MGI:102949	Viable
HGNC:12767	MGI:2142581	Subviable
HGNC:12768	MGI:1346098	Lethal
HGNC:12770	MGI:1328326	Viable
HGNC:12774	MGI:98953	Subviable
HGNC:12775	MGI:108061	Viable
HGNC:12776	MGI:101948	Viable
HGNC:12781	MGI:1261834	Viable
HGNC:12782	MGI:98955	Lethal
HGNC:12785	MGI:98960	Lethal
HGNC:12790	MGI:2136882	Lethal
HGNC:12801	MGI:98970	Lethal
HGNC:12811	MGI:103569	Viable
HGNC:12820	MGI:2684957	Viable
HGNC:12822	MGI:2180003	Subviable
HGNC:12825	MGI:2144013	Lethal
HGNC:12826	MGI:1920442	Subviable
HGNC:12830	MGI:1921585	Lethal
HGNC:12840	MGI:2147627	Lethal
HGNC:12845	MGI:1913303	Viable
HGNC:12854	MGI:891963	Viable
HGNC:12855	MGI:109484	Subviable
HGNC:12865	MGI:108094	Viable
HGNC:12866	MGI:1929117	Viable
HGNC:12868	MGI:1891017	Viable
HGNC:12871	MGI:109271	Viable
HGNC:12886	MGI:1270153	Viable
HGNC:1291	MGI:1917278	Viable
HGNC:12927	MGI:1924514	Viable
HGNC:12929	MGI:99161	Lethal
HGNC:1293	MGI:1916186	Viable
HGNC:12932	MGI:102749	Viable
HGNC:12933	MGI:1332234	Lethal
HGNC:12963	MGI:2686600	Viable
HGNC:12968	MGI:106611	Viable
HGNC:1297	MGI:2181053	Viable
HGNC:1298	MGI:1923823	Viable
HGNC:12980	MGI:2444707	Viable
HGNC:12994	MGI:1933401	Viable
HGNC:12997	MGI:3040700	Subviable
HGNC:12998	MGI:1340045	Lethal
HGNC:13001	MGI:2442220	Viable
HGNC:13011	MGI:1917140	Viable
HGNC:13012	MGI:1914505	Viable
HGNC:1302	MGI:1858215	Viable
HGNC:13023	MGI:2443465	Viable
HGNC:13031	MGI:1306812	Viable
HGNC:1305	MGI:1921637	Viable
HGNC:13050	MGI:106505	Viable
HGNC:13058	MGI:1858211	Lethal
