MGI_ID	Window_Category
MGI:2143628	Late-gestation
MGI:105090	Late-gestation
MGI:1202717	Late-gestation
MGI:2385276	Late-gestation
MGI:95721	Late-gestation
MGI:104606	Late-gestation
MGI:1860188	Late-gestation
MGI:1890645	Late-gestation
MGI:1921895	Late-gestation
MGI:1928750	Late-gestation
MGI:1932404	Late-gestation
MGI:2147790	Late-gestation
MGI:2679270	Late-gestation
MGI:2679336	Late-gestation
MGI:95751	Late-gestation
MGI:97531	Late-gestation
MGI:98282	Late-gestation
MGI:1914596	Late-gestation
MGI:3026965	Late-gestation
MGI:1351351	Late-gestation
MGI:2144157	Late-gestation
MGI:107460	Late-gestation
MGI:107979	Late-gestation
MGI:109529	Late-gestation
MGI:1920942	Late-gestation
MGI:2145317	Late-gestation
MGI:2652847	Late-gestation
MGI:94869	Late-gestation
MGI:1194993	Late-gestation
MGI:2682307	Late-gestation
MGI:88107	Late-gestation
MGI:102519	Late-gestation
MGI:109347	Late-gestation
MGI:1195985	Late-gestation
MGI:1197012	Late-gestation
MGI:1276109	Late-gestation
MGI:1309469	Late-gestation
MGI:1337104	Late-gestation
MGI:1343085	Late-gestation
MGI:1353633	Late-gestation
MGI:1915091	Late-gestation
MGI:1916161	Late-gestation
MGI:1916987	Late-gestation
MGI:1917167	Late-gestation
MGI:1919257	Late-gestation
MGI:1921293	Late-gestation
MGI:1921462	Late-gestation
MGI:1923799	Late-gestation
MGI:1927753	Late-gestation
MGI:1928948	Late-gestation
MGI:1930088	Late-gestation
MGI:2141101	Late-gestation
MGI:2147616	Late-gestation
MGI:2445208	Late-gestation
MGI:2682305	Late-gestation
MGI:2685844	Late-gestation
MGI:3528383	Late-gestation
MGI:3584043	Late-gestation
MGI:88289	Late-gestation
MGI:88421	Late-gestation
MGI:96269	Late-gestation
MGI:96770	Late-gestation
MGI:96788	Late-gestation
MGI:97383	Late-gestation
MGI:97496	Late-gestation
MGI:97815	Late-gestation
MGI:98250	Late-gestation
MGI:98727	Late-gestation
MGI:98960	Late-gestation
MGI:98970	Late-gestation
MGI:99960	Late-gestation
MGI:1922941	Late-gestation
MGI:1913761	Late-gestation
MGI:97788	Late-gestation
MGI:2145950	Late-gestation
MGI:104723	Late-gestation
MGI:1891434	Late-gestation
MGI:108426	Late-gestation
MGI:1270862	Late-gestation
MGI:1338027	Late-gestation
MGI:1345283	Late-gestation
MGI:1916165	Late-gestation
MGI:1917347	Late-gestation
MGI:1924295	Late-gestation
MGI:2140361	Late-gestation
MGI:2146388	Late-gestation
MGI:2159402	Late-gestation
MGI:2443582	Late-gestation
MGI:3781032	Late-gestation
MGI:99607	Late-gestation
MGI:1277991	Late-gestation
MGI:1345162	Late-gestation
MGI:1352451	Late-gestation
MGI:1914004	Late-gestation
MGI:1917580	Late-gestation
MGI:1919020	Late-gestation
MGI:1926421	Late-gestation
MGI:1929913	Late-gestation
MGI:2385311	Late-gestation
MGI:88121	Late-gestation
MGI:95775	Late-gestation
MGI:107405	Late-gestation
MGI:1922680	Late-gestation
MGI:1098270	Late-gestation
MGI:1197515	Late-gestation
MGI:1351614	Late-gestation
MGI:1915862	Late-gestation
MGI:1927237	Late-gestation
MGI:2442308	Late-gestation
MGI:1261831	Late-gestation
MGI:1861722	Late-gestation
MGI:1916279	Late-gestation
MGI:97297	Late-gestation
MGI:102672	Late-gestation
MGI:103582	Late-gestation
MGI:105058	Late-gestation
MGI:1194504	Late-gestation
MGI:1298224	Late-gestation
MGI:1332234	Late-gestation
MGI:1341822	Late-gestation
MGI:1351617	Late-gestation
MGI:1354742	Late-gestation
MGI:1354961	Late-gestation
MGI:1890520	Late-gestation
MGI:1918305	Late-gestation
MGI:1921793	Late-gestation
MGI:1925542	Late-gestation
MGI:1926102	Late-gestation
MGI:1926225	Late-gestation
MGI:1932915	Late-gestation
MGI:2442638	Late-gestation
MGI:2447076	Late-gestation
MGI:87871	Late-gestation
MGI:95517	Late-gestation
MGI:96650	Late-gestation
MGI:97376	Late-gestation
MGI:97603	Late-gestation
MGI:1196429	Late-gestation
MGI:1344412	Late-gestation
MGI:1918711	Late-gestation
MGI:1919995	Late-gestation
MGI:1935151	Late-gestation
MGI:2147134	Late-gestation
MGI:2147810	Late-gestation
MGI:2156052	Late-gestation
MGI:3582693	Late-gestation
MGI:891996	Late-gestation
MGI:99422	Late-gestation
MGI:99602	Late-gestation
MGI:99659	Late-gestation
MGI:105491	Early-gestation
MGI:1328337	Early-gestation
MGI:1925927	Early-gestation
MGI:103202	Early-gestation
MGI:108278	Early-gestation
MGI:109129	Early-gestation
MGI:109207	Early-gestation
MGI:1096397	Early-gestation
MGI:1096879	Early-gestation
MGI:1099835	Early-gestation
MGI:1315195	Early-gestation
MGI:1328366	Early-gestation
MGI:1342005	Early-gestation
MGI:1344380	Early-gestation
MGI:1344416	Early-gestation
MGI:1346082	Early-gestation
