Marker.Symbol	MGI.Accession.ID	Gene.ID
0610009B22Rik	MGI:1913300	ENSMUSG00000007777
0610009L18Rik	MGI:1914088	ENSMUSG00000043644
0610009O20Rik	MGI:1914089	ENSMUSG00000024442
0610010F05Rik	MGI:1918925	ENSMUSG00000042208
0610010K14Rik	MGI:1915609	ENSMUSG00000020831
0610030E20Rik	MGI:1915614	ENSMUSG00000058706
0610037L13Rik	MGI:1921348	ENSMUSG00000028608
0610040J01Rik	MGI:1923511	ENSMUSG00000060512
1110002E22Rik	MGI:1915066	ENSMUSG00000090066
1110004E09Rik	MGI:1915251	ENSMUSG00000022972
1110004F10Rik	MGI:1929274	ENSMUSG00000030663
1110008F13Rik	MGI:1914638	ENSMUSG00000027637
1110008L16Rik	MGI:1913382	ENSMUSG00000021023
1110008P14Rik	MGI:1920987	ENSMUSG00000039195
1110012L19Rik	MGI:1915868	ENSMUSG00000045237
1110017D15Rik	MGI:1920971	ENSMUSG00000028441
1110032A03Rik	MGI:1915971	ENSMUSG00000037971
1110032F04Rik	MGI:1915975	ENSMUSG00000046999
1110034G24Rik	MGI:1920997	ENSMUSG00000044991
1110038F14Rik	MGI:2152337	ENSMUSG00000063236
1110051M20Rik	MGI:1915079	ENSMUSG00000040591
1110059E24Rik	MGI:1913456	ENSMUSG00000035171
1110059G10Rik	MGI:1913452	ENSMUSG00000032551
1110065P20Rik	MGI:1916170	ENSMUSG00000078570
1190002N15Rik	MGI:1916111	ENSMUSG00000045414
1190005I06Rik	MGI:1916168	ENSMUSG00000043687
1190007I07Rik	MGI:3698433	ENSMUSG00000063320
1300017J02Rik	MGI:1919025	ENSMUSG00000033688
1500009C09Rik	MGI:1923755	ENSMUSG00000068099
1500009L16Rik	MGI:1917034	ENSMUSG00000087651
1500011B03Rik	MGI:1913486	ENSMUSG00000072694
1500011K16Rik	MGI:1915135	ENSMUSG00000051319
1500015O10Rik	MGI:1926146	ENSMUSG00000026051
1520401A03Rik	MGI:2443785	ENSMUSG00000043747
1600002K03Rik	MGI:1917020	ENSMUSG00000035595
1600012H06Rik	MGI:1915162	ENSMUSG00000050088
