,HGNC.ID,P.VALUE
1,HGNC:24866,1
2,HGNC:19104,1
3,HGNC:18806,1
4,HGNC:16636,1
5,HGNC:8856,1
6,HGNC:11571,1
7,HGNC:6902,1
8,HGNC:8847,1
9,HGNC:16369,1
10,HGNC:17939,1
11,HGNC:4795,1
12,HGNC:17877,1
13,HGNC:10606,1
14,HGNC:16512,0.250304685
15,HGNC:20001,1
16,HGNC:1352,0.022545027
17,HGNC:1353,0.122566392
18,HGNC:2661,1
19,HGNC:11530,1
20,HGNC:19190,1
21,HGNC:491,1
22,HGNC:23157,1
23,HGNC:8905,1
24,HGNC:15469,1
25,HGNC:6554,1
26,HGNC:20800,1
27,HGNC:19100,0.654828151
28,HGNC:2501,1
29,HGNC:19661,1
30,HGNC:89,1
31,HGNC:989,1
32,HGNC:2018,1
33,HGNC:20193,1
34,HGNC:11774,1
35,HGNC:1105,1
36,HGNC:14373,1
37,HGNC:4237,1
38,HGNC:10360,1
39,HGNC:67,1
40,HGNC:3012,1
41,HGNC:321,1
42,HGNC:25403,1
43,HGNC:2698,1
44,HGNC:4539,1
45,HGNC:7436,1
46,HGNC:11917,1
47,HGNC:23595,1
48,HGNC:2523,1
49,HGNC:2026,1
50,HGNC:2027,1
51,HGNC:30213,1
52,HGNC:18337,0.106666667
53,HGNC:8621,1
54,HGNC:406,1
55,HGNC:28957,1
56,HGNC:14581,1
57,HGNC:1241,1
58,HGNC:1245,1
59,HGNC:1242,1
60,HGNC:29079,1
61,HGNC:10301,1
62,HGNC:4116,1
63,HGNC:5005,1
64,HGNC:25839,1
65,HGNC:18640,1
66,HGNC:11013,1
67,HGNC:26031,1
68,HGNC:7961,1
69,HGNC:26624,1
70,HGNC:11071,1
71,HGNC:3625,1
72,HGNC:25230,1
73,HGNC:3377,1
74,HGNC:19691,1
75,HGNC:14957,1
76,HGNC:12840,1
77,HGNC:5144,1
78,HGNC:362,1
79,HGNC:4286,1
80,HGNC:4285,1
81,HGNC:2216,1
82,HGNC:2439,1
83,HGNC:21679,1
84,HGNC:20286,1
85,HGNC:25897,1
86,HGNC:2218,1
87,HGNC:2519,1
88,HGNC:11005,1
89,HGNC:7217,1
90,HGNC:29040,1
91,HGNC:9670,1
92,HGNC:10866,1
93,HGNC:9586,1
94,HGNC:3259,1
95,HGNC:12591,1
96,HGNC:7527,1
97,HGNC:15954,1
98,HGNC:24525,1
99,HGNC:9352,1
100,HGNC:9826,1
101,HGNC:11556,1
102,HGNC:10879,1
103,HGNC:25716,1
