"","Expression Type","Number of Genes","HPO.MP","Expression"
"1","Human Genes with Expression > 0 TPM",282,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"2","Human Genes with Expression > 0 TPM",3354,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","Yes"
"3","Human Genes with Expression > 0 TPM",6993,"Abnormality of connective tissue+adipose tissue phenotype","Yes"
"4","Human Genes with Expression > 0 TPM",114,"Abnormality of head or neck+craniofacial phenotype","No"
"5","Human Genes with Expression > 0 TPM",3521,"Abnormality of head or neck+craniofacial phenotype","Yes"
"6","Human Genes with Expression > 0 TPM",282,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"7","Human Genes with Expression > 0 TPM",3354,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","Yes"
"8","Human Genes with Expression > 0 TPM",109,"Abnormality of the breast+endocrine/exocrine gland phenotype","No"
"9","Human Genes with Expression > 0 TPM",3527,"Abnormality of the breast+endocrine/exocrine gland phenotype","Yes"
"10","Human Genes with Expression > 0 TPM",859,"Abnormality of the cardiovascular system+cardiovascular system phenotype","No"
"11","Human Genes with Expression > 0 TPM",17306,"Abnormality of the cardiovascular system+cardiovascular system phenotype","Yes"
"12","Human Genes with Expression > 0 TPM",1477,"Abnormality of the digestive system+liver/biliary system phenotype","No"
"13","Human Genes with Expression > 0 TPM",1477,"Abnormality of the digestive system+digestive/alimentary phenotype","No"
"14","Human Genes with Expression > 0 TPM",34847,"Abnormality of the digestive system+digestive/alimentary phenotype","Yes"
"15","Human Genes with Expression > 0 TPM",34847,"Abnormality of the digestive system+liver/biliary system phenotype","Yes"
"16","Human Genes with Expression > 0 TPM",34847,"Abnormality of the digestive system+taste/olfaction phenotype","Yes"
"17","Human Genes with Expression > 0 TPM",363,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","No"
"18","Human Genes with Expression > 0 TPM",10540,"Abnormality of the endocrine system+endocrine/exocrine gland phenotype","Yes"
"19","Human Genes with Expression > 0 TPM",1110,"Abnormality of the genitourinary system+reproductive system phenotype","No"
"20","Human Genes with Expression > 0 TPM",1110,"Abnormality of the genitourinary system+renal/urinary system phenotype","No"
"21","Human Genes with Expression > 0 TPM",35218,"Abnormality of the genitourinary system+renal/urinary system phenotype","Yes"
"22","Human Genes with Expression > 0 TPM",35218,"Abnormality of the genitourinary system+reproductive system phenotype","Yes"
"23","Human Genes with Expression > 0 TPM",156,"Abnormality of the immune system+immune system phenotype","No"
"24","Human Genes with Expression > 0 TPM",3477,"Abnormality of the immune system+immune system phenotype","Yes"
"25","Human Genes with Expression > 0 TPM",243,"Abnormality of the integument+integument phenotype","No"
"26","Human Genes with Expression > 0 TPM",243,"Abnormality of the integument+pigmentation phenotype","No"
"27","Human Genes with Expression > 0 TPM",7027,"Abnormality of the integument+pigmentation phenotype","Yes"
"28","Human Genes with Expression > 0 TPM",7027,"Abnormality of the integument+integument phenotype","Yes"
"29","Human Genes with Expression > 0 TPM",202,"Abnormality of the musculature+muscle phenotype","No"
"30","Human Genes with Expression > 0 TPM",3431,"Abnormality of the musculature+muscle phenotype","Yes"
"31","Human Genes with Expression > 0 TPM",1786,"Abnormality of the nervous system+nervous system phenotype","No"
"32","Human Genes with Expression > 0 TPM",52728,"Abnormality of the nervous system+nervous system phenotype","Yes"
"33","Human Genes with Expression > 0 TPM",52728,"Abnormality of the nervous system+taste/olfaction phenotype","Yes"
"34","Human Genes with Expression > 0 TPM",121,"Abnormality of the respiratory system+respiratory system phenotype","No"
"35","Human Genes with Expression > 0 TPM",3513,"Abnormality of the respiratory system+respiratory system phenotype","Yes"
"36","Human Genes with Expression > 0 TPM",202,"Abnormality of the skeletal system+skeleton phenotype","No"
"37","Human Genes with Expression > 0 TPM",202,"Abnormality of the skeletal system+growth/size/body region phenotype","No"
"38","Human Genes with Expression > 0 TPM",3431,"Abnormality of the skeletal system+growth/size/body region phenotype","Yes"
"39","Human Genes with Expression > 0 TPM",3431,"Abnormality of the skeletal system+skeleton phenotype","Yes"
"40","Human Genes with Expression >/= 0.1 TPM",844,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","No"
"41","Human Genes with Expression >/= 0.1 TPM",2792,"Abnormality of blood and blood-forming tissues+hematopoietic system phenotype","Yes"
"42","Human Genes with Expression >/= 0.1 TPM",6488,"Abnormality of connective tissue+adipose tissue phenotype","Yes"
"43","Human Genes with Expression >/= 0.1 TPM",351,"Abnormality of head or neck+craniofacial phenotype","No"
"44","Human Genes with Expression >/= 0.1 TPM",3284,"Abnormality of head or neck+craniofacial phenotype","Yes"
"45","Human Genes with Expression >/= 0.1 TPM",844,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","No"
"46","Human Genes with Expression >/= 0.1 TPM",2792,"Abnormality of metabolism/homeostasis+homeostasis/metabolism phenotype","Yes"
