query	match
HGNC:20106	MGI:2685108
HGNC:4298	MGI:88151
HGNC:10536	MGI:2183102
HGNC:24141	MGI:3039603
HGNC:5998	MGI:98427
HGNC:16281	MGI:2137355
HGNC:5384	MGI:1915084
HGNC:1005	MGI:1332238
HGNC:7455	MGI:101787
HGNC:7462	MGI:102495
HGNC:28072	MGI:1922780
HGNC:7415	MGI:99926
HGNC:30247	MGI:1096570
HGNC:7460	MGI:102497
HGNC:7422	MGI:102502
HGNC:2438	MGI:1339751
HGNC:7458	MGI:102499
HGNC:18825	MGI:2444223
HGNC:11026	MGI:96955
HGNC:7456	MGI:102500
HGNC:7414	MGI:99927
HGNC:7459	MGI:102498
HGNC:33865	MGI:5317335
HGNC:26133	MGI:2444131
HGNC:7427	MGI:102501
HGNC:28106	MGI:1916321
HGNC:30307	MGI:1337129
HGNC:16984	MGI:1858752
HGNC:7461	MGI:102496
HGNC:15487	MGI:1919986
HGNC:6008	MGI:96549
HGNC:553	MGI:88035
HGNC:2398	MGI:88519
HGNC:4271	MGI:1352753
HGNC:32486	MGI:2685451
HGNC:1798	MGI:88359
HGNC:3359	MGI:2682634
HGNC:9300	MGI:1321161
HGNC:7421	MGI:102503
HGNC:7419	MGI:102504
HGNC:6074	MGI:1931123
HGNC:4397	MGI:1338057
HGNC:34498	MGI:1916050
HGNC:9361	MGI:97756
HGNC:7037	MGI:1353421
HGNC:25966	MGI:1917326
HGNC:9644	MGI:99511
HGNC:16684	MGI:1915749
HGNC:23505	MGI:2446132
HGNC:1492	MGI:1921887
HGNC:28046	MGI:1914428
HGNC:21265	MGI:2660692
HGNC:11588	MGI:101838
HGNC:24063	MGI:2442420
HGNC:19898	MGI:1918617
HGNC:18540	MGI:2446526
HGNC:29858	MGI:1201387
HGNC:12312	MGI:2138069
HGNC:17788	MGI:1330858
HGNC:29203	MGI:2443456
HGNC:29178	MGI:2443432
HGNC:23328	MGI:99154
HGNC:11330	MGI:98327
HGNC:4846	MGI:1298210
HGNC:1001	MGI:107187
HGNC:2355	MGI:88496
HGNC:28419	MGI:1914068
HGNC:10349	MGI:1914921
HGNC:18043	MGI:1917274
HGNC:9247	MGI:1924037
HGNC:1866	MGI:1347086
HGNC:20961	MGI:2446180
HGNC:9886	MGI:2136980
HGNC:2552	MGI:1918995
HGNC:19035	MGI:894676
HGNC:589	MGI:1277186
HGNC:20834	MGI:2183437
HGNC:14148	MGI:1919356
HGNC:22984	MGI:1924151
HGNC:25428	MGI:95454
HGNC:7690	MGI:1914380
HGNC:6299	MGI:1924937
HGNC:33767	MGI:1914593
HGNC:1434	MGI:88248
HGNC:7691	MGI:1913666
HGNC:871	MGI:1196457
HGNC:17780	MGI:2444552
HGNC:726	MGI:1202710
HGNC:10738	MGI:1203727
HGNC:4847	MGI:1202306
HGNC:26306	MGI:1277178
HGNC:8762	MGI:104643
HGNC:24336	MGI:2443052
HGNC:11501	MGI:1341881
HGNC:25928	MGI:1919218
HGNC:17210	MGI:3028576
HGNC:20627	MGI:2144095
HGNC:21399	MGI:2151057
HGNC:13922	MGI:3039565
HGNC:10545	MGI:1913484
HGNC:18550	MGI:1913441
HGNC:403	MGI:1353452
HGNC:21535	MGI:1916487
HGNC:28638	MGI:1915866
HGNC:971	MGI:108091
HGNC:24051	MGI:1338038
HGNC:25879	MGI:1914620
HGNC:8570	MGI:1345181
HGNC:2358	MGI:894312
HGNC:13517	MGI:1917912
HGNC:3694	MGI:95526
HGNC:1605	MGI:107824
HGNC:11511	MGI:99665
HGNC:22938	MGI:2676630
HGNC:33104	MGI:108070
HGNC:29847	MGI:2686394
HGNC:21945	MGI:2443264
HGNC:17812	MGI:1929286
HGNC:9718	MGI:108295
HGNC:20174	MGI:1918427
HGNC:7544	MGI:1355332
HGNC:30309	MGI:1915080
HGNC:11936	MGI:99255
HGNC:18429	MGI:1914353
HGNC:6714	MGI:109151
HGNC:28203	MGI:1914450
HGNC:11157	MGI:109489
HGNC:15633	MGI:1932389
HGNC:25360	MGI:1915247
HGNC:6914	MGI:1338823
HGNC:20738	MGI:1921376
HGNC:19832	MGI:1914114
HGNC:18309	MGI:1915196
HGNC:4565	MGI:1355324
HGNC:7648	MGI:1347075
HGNC:20233	MGI:1924408
HGNC:28462	MGI:1921416
HGNC:22995	MGI:2669033
HGNC:18966	MGI:2180098
HGNC:19854	MGI:2443027
HGNC:25763	MGI:1919247
HGNC:17045	MGI:2135954
