"","MGI.ID","HGNC.ID","mp.description","GTEX.tissues","HPO.superclass.description","MP.Term","TS28.mutant.expression.detected","TPM >/= 0.1 TPM","TPM >/= 1 TPM"
"1","MGI:101791","HGNC:6132","craniofacial phenotype","Minor Salivary Gland","Abnormality of head or neck","abnormal pharyngeal arch morphology","Yes","Yes","Yes"
"2","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","abnormal pancreas morphology","Yes","No","No"
"3","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","abnormal pancreatic acinar cell morphology","Yes","No","No"
"4","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Pancreas","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","Yes"
"5","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Colon - Transverse","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","No"
"6","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Esophagus - Muscularis","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","No","No"
"7","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Stomach","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","Yes"
"8","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Liver","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","No","No"
"9","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Esophagus - Mucosa","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","No","No"
"10","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Colon - Sigmoid","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","No"
"11","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Esophagus - Gastroesophageal Junction","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","Yes"
"12","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Spleen","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","No","No"
